lockitver|DO NOT DELETE THIS LINE! 2896
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Bien. Ensuite ce tout ce que vous avez à faire est d'assommer l'imbécile avec votre arme et lorsque le combat est fini vous le mettez aux fers. C'est un peu différent pour les nobles ou autres personnes de haut rang, ils ont tendance à être suffisamment protégés pour que le type d'arme utilisé importe peu, cependant votre agitateur saignera comme un porc si vous le touchez avec une arme tranchante. Je ne suis pas très exigeant en ce qui concerne ma marchandise, mais j'insiste sur le fait qu'ils soient en vie au moment où je les achète.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|Non ? Héhé, ben ça doit être votre jour de chance. J'ai un vieux gourdin qui traîne dans le coin que j'allais jeter. Il est un peu abîmé, mais encore en assez bon état pour cogner quelqu'un jusqu'à ce qu'il cesse de bouger. Tenez, prenez-le.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Merci, Ramun. Peut-être que je vais m'y exercer.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Bon, je vais de nouveau tenter de vous expliquer à l'aide de termes simples. La règle de base pour capturer un prisonnier est de l'assommer avec une arme contondante, comme une masse d'armes ou un gourdin, plutôt que le tuer ouvertement avec une épée. De cette manière il perd conscience pendant une courte durée au lieu de se vider de son sang, vous voyez ? C'est un peu différent pour les nobles ou autres personnes de haut rang, ils ont tendance à être suffisamment protéges pour que le type d'arme utilisé importe peu, cependant votre agitateur saignera comme un porc si vous le touchez avec une arme tranchante.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Bon, je crois que j'ai compris. Autre chose ?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Eh bien, ça n'est pas aussi simple que ça n'y paraît. Les armes contondantes n'occasionnent pas autant de dégâts que les armes tranchantes, ainsi elles n'abattront pas aussi rapidement vos ennemis. Et croyez-moi, la plupart de la vermine que vous rencontrerez par hasard cherchera vraisemblablement à vous tuer dès qu'elle en aura l'opportunité, c'est pourquoi vous devez vous attendre à ce qu'on ne vous manifeste aucune courtoisie lorsque vous sortirez un gourdin au lieu d'une épée. De plus, le fait de devoir trimballer des prisonniers ralentira votre groupe, ce qui explique tout simplement pourquoi certaines personnes libèrent leur prisonnier après un combat. C'est de la folie. Comment quelqu'un pourrait-il refuser tout cet argent, hein ?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Ce sera tout ?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Juste une dernière chose. Gérer des prisonniers sans rencontrer de problème n'est pas une tâche facile, vous pouvez la qualifier de technique à part entière. Si vous voulez capturer beaucoup de prisonniers, vous devriez essayer et apprendre vous-même les combines du métier, sinon vous ne parviendrez même pas à retenir l'homme que vous attraperez.  
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Merci, Je tâcherai de m'en souvenir.
dlga_ramun_talk:ramun_leave|Je ferais mieux d'y aller.
dlga_ramun_leave:close_window|Souvenez-nous, vous pouvez m'amener n'importe lequel de vos prisonniers. Je vous paierai un bon prix pour chaque homme.
dlga_start:close_window.3|Messire, je vous demande humblement de garder les mains là où je peux les voir.
dlga_start:manhunter_talk_b|Eh, vous là ! Avez-vous vu d'autres hors-la-loi dans les parages ?
dlga_manhunter_talk_b:manhunter_talk_b1|Oui, ils sont allés dans cette direction il y a environ une heure.
dlga_manhunter_talk_b1:close_window|Je le savais ! En avant les gars, attrapons ces chiens ! Merci beaucoup l'ami.
dlga_manhunter_talk_b:manhunter_talk_b2|Non, je n'ai pas vu de hors-la-loi récemment.
dlga_manhunter_talk_b2:close_window|Bah. Ils se cachent comme des rats dans ce pays, mais nous finirons par les débusquer tôt ou tard.
dlga_looters_1:looters_2|{s4}
dlga_looters_2:close_window|Vous ne me faites pas peur. Battez-vous si vous l'osez !
dlga_looters_2:close_window.1|Vous n'obtiendrez rien de moi si ce n'est la lame de mon épée, vermine. 
dlga_start:village_farmer_talk|{Messire/Madame}, nous ne sommes que de pauvres fermiers du village de {s11}. {reg1?Nous amenons nos produits à {s12}.:Nous revenons du marché de {s12} et rentrons dans notre village.} 
dlga_village_farmer_talk:farmer_bandit_information|Je traque un groupe de bandits répondant à la description suivante... Vous les avez vus ?
dlga_farmer_bandit_information:village_farmer_talk|{s15}
dlga_village_farmer_talk:close_window|On verra se qui vous reste une fois que je vous aurai pris tout ce que vous avez ! 
dlga_village_farmer_talk:close_window.1|Continuez, alors. Au revoir. 
dlga_start:minister_issues|Je suis à votre service, {monsieur/madame}
dlga_start:close_window.4|C'est un honneur de vous servir, {monsieur/madame}
dlga_start:member_castellan_talk|Oui, {playername} ? Que puis-je faire pour vous ?
dlga_member_castellan_pretalk:member_castellan_talk|Autre chose ?
dlga_member_castellan_talk:member_review_castle_garrison|Je veux inspecter la garnison du château.
dlga_member_review_castle_garrison:member_castellan_pretalk|Bien sûr. Voici nos listes, faites-moi savoir si vous souhaitez y apporter des modifications...
dlga_member_castellan_talk:member_review_castellan_equipment|Laissez-moi voir votre équipement.
dlga_member_review_castellan_equipment:member_castellan_pretalk|Entendu, tout est là...
dlga_member_castellan_talk:member_castellan_join|Je veux que vous abandonniez le château et rejoignez mon groupe.
dlga_member_castellan_join:close_window|Je me suis beaucoup attaché à cet endroit... Mais si tel est votre désir, {playername}, je viendrai avec vous.
dlga_member_castellan_join:member_castellan_pretalk|Et où allons-nous dormir ? Vous déplacez une armée entière avec vous, {playername}, il n'y a pas assez de place pour nous tous. 
dlga_member_castellan_talk:close_window|[Quitter]
dlga_start:member_wilderness_talk|Voulez-vous que je réintègre votre groupe ? 
dlga_start:member_inn_talk|Voulez-vous que je réintègre votre groupe ?
dlga_member_chat:kidnapped_girl_chat_1|Sommes-nous enfin rentrés à la maison ?
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Pas encore.
dlga_kidnapped_girl_chat_2:close_window|J'ai hâte de revenir. Ma famille m'a tellement manquée que je ferai n'importe quoi pour les revoir.
dlga_member_chat:member_lady_1|{playername}, quand croyez-vous que nous arriverons à destination ?
dlga_member_lady_1:member_lady_2a|Un long chemin nous attend encore.
dlga_member_lady_1:member_lady_2b|Très prochainement. Nous y sommes presque.
dlga_member_lady_2a:close_window|Ah, je vais pouvoir profiter du voyage un peu plus longtemps. Je ne me plaindrai pas. Je trouve que respirer l'air libre est tellement plus agréable que de rester assis toute la journée dans un château. Comme je vous envie, vous qui menez tout le temps cette vie.
dlga_member_lady_2b:close_window|C'est une bonne nouvelle. Ça n'est pas que je n'apprécie pas votre compagnie mais il est vrai que le luxe me manquait un peu. Il n'empêche que je suis triste de vous quitter bientôt. Vous devez me promettre de venir me rendre visite quand vous pourrez.  
dlga_member_chat:supported_pretender_talk|Salutations, {playername}, mon premier et plus fidèle vassal. J'attends vos conseils. 
dlga_supported_pretender_pretalk:supported_pretender_talk|Autre chose ?
dlga_supported_pretender_talk:pretender_progress|Que pensez-vous de l'état de notre progression ? 
dlga_pretender_progress:pretender_progress_2|{reg11?Nous avons {reg11} seigneurs à nos côtés:Nous n'avons aucun seigneur avec nous pour le moment}, alors que {reg21?{s9} a encore {reg21} seigneurs à ses côtés:{s9} n'a aucun seigneur fidèle à ses côtés}. {reg19?Nous contrôlons {reg13?{reg13} bourgs:} {reg14?{reg14} châteaux:} {reg15?et {reg15} villages:}:Nous ne contrôlons aucun territoire}, alors que {reg29?ils ont {reg23?{reg23} bourgs:} {reg24?{reg24} châteaux:} {reg25?et {reg25} villages:}:il ne leur reste aucun territoire}. En tout, {s30}.
dlga_pretender_progress_2:supported_pretender_pretalk|Ensuite, nous devons continuer le combat et mobiliser nos troupes !
dlga_pretender_progress_2:pretender_quit_rebel_confirm|Il semble que cette rébellion ne mène nulle part. Nous devons abandonner.
dlga_pretender_quit_rebel_confirm:pretender_quit_rebel_confirm_2|{playername}, vous ne pouvez pas m'abandonner maintenant. Êtes-vous sérieux ?
dlga_pretender_quit_rebel_confirm_2:pretender_quit_rebel_confirm_3|En effet, je le suis. Je ne peux plus vous supporter.
dlga_pretender_quit_rebel_confirm_2:supported_pretender_pretalk|Je plaisantais. Je me battrai pour vous jusqu'à ce que nous soyons victorieux.
dlga_pretender_quit_rebel_confirm_3:pretender_quit_rebel_confirm_4|En êtes-vous absolument sûr ? Je ne le vous pardonnerai jamais si vous abandonnez ma cause. 
dlga_pretender_quit_rebel_confirm_4:pretender_quit_rebel|J'en suis sûr.
dlga_pretender_quit_rebel_confirm_4:supported_pretender_pretalk|Permettez-moi d'y réfléchir encore un peu.
dlga_pretender_quit_rebel:close_window|Qu'il en soit ainsi. Ma cause est alors perdue. Il ne me reste plus qu'une chose à faire à présent. Je partirai de Calradia et n'y reviendrai jamais. Après mon départ, vous pourrez essayer de faire la paix avec {s4}.
dlga_supported_pretender_talk:supported_pretender_equip|{reg65?Madame:Mon seigneur}, m'autoriseriez-vous à examiner vos équipements ?
dlga_supported_pretender_equip:supported_pretender_pretalk|Entendu, tout est ici...
dlga_supported_pretender_talk:pretneder_view_char_requested|Cela vous dérangerait-il de me renseigner sur vos compétences ?
dlga_pretneder_view_char_requested:supported_pretender_pretalk|Pas de problème.
dlga_supported_pretender_talk:close_window|Continuons notre route, {reg65?madame:messire}.
dlga_do_member_trade:member_talk|Autre chose ?
dlga_member_pretalk:member_talk|Autre chose ?
dlga_member_chat:member_talk|Oui, {s5}?
dlga_member_talk:member_direct_campaign|En tant que maréchal, j'aimerais envoyer un message aux vassaux du royaume.
dlga_member_talk:member_trade|Laissez-moi voir votre équipement.
dlga_member_trade:do_member_trade|Entendu, tout est ici...
dlga_member_talk:view_member_char_requested|Que pouvez-vous me dire au sujet de vos compétences ?
dlga_view_member_char_requested:do_member_view_char|Bien, laissez-moi vous raconter...
dlga_member_talk:member_separate|Nous devons nous séparer pour le moment.
dlga_member_separate:member_separate_confirm|Vraiment ? Dans ce cas, je ne vais pas m'attarder ici. Je vais me rendre dans les bourgs pour chercher un autre travail. C'est ce que vous attendez de moi ?
dlga_member_separate:companion_quitting|Bien, en fait, il y avait quelque chose dont je voulais vous parler. 
dlga_member_separate_confirm:member_separate_yes|C'est juste. C'est ici que nos chemins se séparent.
dlga_member_separate_confirm:do_member_trade|Non, je préférerais vous avoir à mes côtés.
dlga_member_separate_yes:close_window|Bien. je m'en vais alors. Revenez me voir si vous avez besoin.
dlga_member_talk:member_question|Je voudrais vous demander quelque chose.
dlga_member_talk:close_window|N'y prêtez pas attention.
dlga_member_question:member_question_2|Entendu. Que vouliez-vous demander ?
dlga_member_question_2:member_morale|Que pensez-vous de la tournure que prennent les choses dans cette compagnie ?
dlga_member_question_2:member_background_recap|Racontez-moi encore votre histoire. 
dlga_member_question_2:member_kingsupport_1|Je suppose que vous savez que j'aspire à régner sur cette terre ?
dlga_member_question_2:member_intelgathering_1|Avez-vous des relations susceptibles de jouer en notre faveur ?
dlga_member_question_2:member_fief_grant_1|Que diriez-vous de posséder un fief ?
dlga_member_morale:do_member_trade|{s21}
dlga_member_background_recap:member_background_recap_2|{s5}
dlga_member_background_recap_2:member_background_recap_3|{s5}
dlga_member_background_recap_3:do_member_trade|Puis, je vous ai rejoint peu après.
dlga_do_member_view_char:member_talk|Autre chose ?
dlga_member_kingsupport_1:do_member_trade|Um... Oui. J'avais entendu.
dlga_member_kingsupport_1:member_kingsupport_1a|{s21}
dlga_member_kingsupport_1a:member_kingsupport_2|Allez-vous rallier ma cause ?
dlga_member_kingsupport_1a:do_member_trade|Très bien. Je m'en souviendrai.
dlga_member_kingsupport_2:member_kingsupport_2a|{s21}
dlga_member_kingsupport_2a:member_kingsupport_3|{s21}
dlga_member_kingsupport_2a:do_member_trade|{s21}
dlga_member_kingsupport_3:member_kingsupport_3a|{s21}
dlga_member_kingsupport_3a:member_kingsupport_4|Très bien. Allez-y.
dlga_member_kingsupport_3a:do_member_trade|À la réflexion, restez à mes côtés encore un peu.
dlga_member_kingsupport_4:close_window|Eh bien, au revoir, {s21}, et à bientôt.
dlga_member_intelgathering_1:member_intelgathering_3|{s21}
dlga_member_intelgathering_3:member_intelgathering_3|Bien sûr, il est important que cela ne s'ébruite pas. Pour glaner des informations ou me sortir de là, n'envoyez pas de messager. Venez par vous-même, même si pour cela, vous devez vous faufiler entre les portes.
dlga_member_intelgathering_3:member_intelgathering_4|Bonne idée… Allez-y.
dlga_member_intelgathering_3:do_member_trade|En fait, tenez-vous à distance pour l'instant.
dlga_member_intelgathering_4:close_window|Parfait. Je devrais pouvoir vous donner des nouvelles dans environ cinq jours. Pour le moment, au revoir, {s21}.
dlga_member_intel_liaison:member_intel_liaison_results|Qu'avez-vous découvert ?
dlga_start:member_intel_liaison|Bonjour, étranger.
