lockitver|DO NOT DELETE THIS LINE! 2896
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Also, Ihr seid noch etwas grün hinter den Ohren, nicht wahr? Ich werde mich besser in einfache Worte fassen: Zuallererst müsst Ihr Euren zukünftigen Gefangenen mit einer stumpfen Waffe niederstrecken, zum Beispiel einem Streitkolben oder einem Knüppel. Mit Schwertern gibt sowas eher eine ziemliche Sauerei. Bei Adligen und so weiter verhält es sich etwas anders, da sie meistens besseren Körperpanzer tragen: Ihnen könnt Ihr mit jeder Art Waffe zu Leibe rücken, doch das übliche Gesindel wird wie eine angestochene Sau bluten, wenn Ihr euch mit einer scharfen Waffe an ihm versucht.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Wohlan, ich denke, ich habe es verstanden. Sonst noch was?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Nun ja, ganz so einfach ist es dann doch nicht: Da stumpfe Waffen nicht so große Wirkung wie scharfe haben, werdet Ihr Eure Gegner damit nicht so schnell besiegen. Und glaubt mir – der Abschaum, der dort draußen lauert, wird Euch bei der erstbesten Gelegenheit umbringen, wenn Ihr anstatt eines Schwertes einen Knüppel zieht. Außerdem werden Gefangene Euren Trupp verlangsamen, weshalb manche Leute ihre Gefangenen nach dem Kampf wieder freilassen! Das ist blanker Wahnsinn! Wie kann man denn das ganze Silber einfach so weglaufen lassen?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Ist das alles?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Nur noch eins: Die Verwaltung von Gefangenen ist kein einfaches Unterfangen, und man könnte sie als eigenständige Fertigkeit bezeichnen. Wenn Ihr viele Gefangene nehmen wollt, solltet Ihr diese Fähigkeit mit allem, was dazugehört, erlernen. Andernfalls werdet Ihr keinen einzigen Gefangenen behalten können.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Danke, ich werde das im Hinterkopf behalten.
dlga_ramun_talk:ramun_leave|Ich mache mich besser auf den Weg.
dlga_ramun_leave:close_window|Vergesst nicht, mir alle Gefangenen zu bringen, die Ihr macht. Ich bezahle Euch für jeden von Ihnen eine gute Kopfprämie!
dlga_start:close_window.3|Ich bitte demütig darum, dass Euer Durchlaucht Eure Hände dort behaltet, wo ich sie sehen kann.
dlga_start:manhunter_talk_b|He, Ihr da! Habt Ihr hier irgendwo Banditen gesehen?
dlga_manhunter_talk_b:manhunter_talk_b1|Fürwahr, sie sind vor einer Stunde hier entlang gekommen.
dlga_manhunter_talk_b1:close_window|Ich wusste es! Kommt, Leute, diese Lumpen schnappen wir uns! Danke, Freund.
dlga_manhunter_talk_b:manhunter_talk_b2|Nein, ich habe in letzter Zeit keinerlei Banditen gesehen.
dlga_manhunter_talk_b2:close_window|Unerhört. In diesem Land kriechen sie wie Ratten in jedes Loch, aber wir werden sie früher oder später schon ausräuchern.
dlga_looters_1:looters_2|{s4}
dlga_looters_2:close_window|Ich fürchte Euch nicht. Stellt Euch zum Kampf, wenn Ihr es wagt!
dlga_looters_2:close_window.1|Ihr werde Euch meine Klinge zu schmecken geben, elendes Gesindel.
dlga_start:village_farmer_talk|Mein {Fürst/Fürstin}, wir sind arme Bauern vom Dorf {s11}. {reg1?Wir bringen unsere Waren zum Markt in {s12}.:Wir sind auf dem Rückweg vom Markt in {s12} zu unserem Dorf.}
dlga_village_farmer_talk:farmer_bandit_information|Ich jage eine Gruppe Banditen mit folgender Beschreibung ... Habt Ihr sie gesehen?
dlga_farmer_bandit_information:village_farmer_talk|{s15}
dlga_village_farmer_talk:close_window|Gebt mir eure Habseligkeiten, Bauernpack. Dann werden wir schon sehen, wie arm ihr wirklich seid ...
dlga_village_farmer_talk:close_window.1|Nun denn, gehabt Euch wohl.
dlga_start:minister_issues|Ich stehe Euch zu Diensten, {Herr/Fürstin}
dlga_start:close_window.4|Es war mir eine Ehre, Euch zu dienen, {Herr/Fürstin}
dlga_start:member_castellan_talk|Ja, {playername}? Wie kann ich Euch zu Diensten sein?
dlga_member_castellan_pretalk:member_castellan_talk|Schon gut.
dlga_member_castellan_talk:member_review_castle_garrison|Ich möchte die Burggarnison überprüfen.
dlga_member_review_castle_garrison:member_castellan_pretalk|Selbstverständlich. Hier sind unsere Soldlisten, bitte lasst mich Eure Änderungswünsche wissen ...
dlga_member_castellan_talk:member_review_castellan_equipment|Lasst mich Eure Ausrüstung sehen.
dlga_member_review_castellan_equipment:member_castellan_pretalk|Sehr wohl, bitte seht selbst ...
dlga_member_castellan_talk:member_castellan_join|Ich verlange, dass Ihr die Burg verlasst und Euch meinem Trupp anschließt.
dlga_member_castellan_join:close_window|Ich habe diesen Ort lieb gewonnen ... Aber wenn Ihr es wünscht, {playername}, werde ich Euch folgen.
dlga_member_castellan_join:member_castellan_pretalk|Und wo sollen wir nächtigen? Ihr habt eine ganze Armee zum Gefolge, {playername}, es gibt keinen Platz mehr für alle von uns.
dlga_member_castellan_talk:close_window|[Verlassen]
dlga_start:member_wilderness_talk|Soll ich mich Euch wieder anschließen?
dlga_start:member_inn_talk|Soll ich mich Euch wieder anschließen?
dlga_member_chat:kidnapped_girl_chat_1|Sind wir schon zu Hause?
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Noch nicht.
dlga_kidnapped_girl_chat_2:close_window|Ich kann es kaum noch erwarten. Ich habe meine Familie so sehr vermisst - ich würde alles geben, sie wieder zu sehen.
dlga_member_chat:member_lady_1|{playername}, wann werden wir Eurer Einschätzung nach unseren Bestimmungsort erreichen?
dlga_member_lady_1:member_lady_2a|Wir haben noch einen langen Weg vor uns.
dlga_member_lady_1:member_lady_2b|Sehr bald, wir sind fast dort.
dlga_member_lady_2a:close_window|Ah, dann werde ich den Weg noch eine Weile länger genießen. Ich beschwere mich nicht, denn so ein Ausritt im Freien ist viel schöner, als den ganzen Tag in einer Burg zu sitzen. Ich beneide Euch, müsst Ihr wissen. Ihr könnt dieses Leben die ganze Zeit genießen.
dlga_member_lady_2b:close_window|Das sind gute Neuigkeiten. Nicht dass mir Eure Gesellschaft nicht zusagen würde, doch ich vermisse meinen täglichen Luxus. Trotzdem grämt es mich, dass ich Euch so bald verlassen muss. Ihr müsst mir versprechen, mich zu besuchen, wenn es Euch möglich ist.
dlga_member_chat:supported_pretender_talk|Seid gegrüßt, {playername}, mein erster und wichtigster Vasall. Ich harre Eures Ratschlags.
dlga_supported_pretender_pretalk:supported_pretender_talk|Sonst noch was?
dlga_supported_pretender_talk:pretender_progress|Wie bewertet Ihr den bisherigen Fortschritt?
dlga_pretender_progress:pretender_progress_2|{reg11?Wir haben {reg11} Fürsten auf unserer Seite:Bisher steht noch kein Fürst zu uns}, wohingegen {reg21?{s9} immer noch von {reg21} Fürsten unterstützt wird:{s9} hat keine loyalen Fürsten mehr}. {reg19?Wir kontrollieren {reg13?{reg13} Städe:} {reg14?{reg14} Burgen:} {reg15?und {reg15} Dörfer:}:Wir kontrollieren keinerlei Siedlungen}, während {reg29?sie {reg23?{reg23} Städe:} {reg24?{reg24} Burgen:} {reg25?und {reg25} Dörfer haben:}:sie haben keinerlei Siedlungen mehr}. Gesamt: {s30}.
dlga_pretender_progress_2:supported_pretender_pretalk|Dann müssen wir weiter kämpfen und unsere Verbündeten versammeln!
dlga_pretender_progress_2:pretender_quit_rebel_confirm|Diese Rebellion scheint zum Scheitern verurteilt, wir müssen aufgeben.
dlga_pretender_quit_rebel_confirm:pretender_quit_rebel_confirm_2|{playername}, Ihr könnt mich jetzt nicht im Stich lassen. Meint Ihr das im Ernst?
dlga_pretender_quit_rebel_confirm_2:pretender_quit_rebel_confirm_3|Sehr wohl, ich kann Euch nicht länger unterstützen.
dlga_pretender_quit_rebel_confirm_2:supported_pretender_pretalk|Kleiner Scherz. Natürlich werde ich bis zum Sieg für Euch kämpfen.
dlga_pretender_quit_rebel_confirm_3:pretender_quit_rebel_confirm_4|Seid Ihr Euch wirklich sicher? Ich würde Euren Verrat an unserer Sache niemals verzeihen.
dlga_pretender_quit_rebel_confirm_4:pretender_quit_rebel|Ich bin mir sicher.
dlga_pretender_quit_rebel_confirm_4:supported_pretender_pretalk|Lasst mich das noch ein wenig überdenken.
dlga_pretender_quit_rebel:close_window|So sei es. Also ist meine Sache gescheitert. Nun gibt es für mich nur noch einen Ausweg: Ich werde Calradia verlassen und niemals zurückkehren. Nachdem ich gegangen bin, könnt Ihr versuchen, Frieden mit {s4} zu schließen.
dlga_supported_pretender_talk:supported_pretender_equip|{reg65?Meine Dame:Mein Fürst}, würdet Ihr mir gestatten, Eure Ausrüstung zu überprüfen?
dlga_supported_pretender_equip:supported_pretender_pretalk|Sehr wohl, bitte seht selbst ...
dlga_supported_pretender_talk:pretneder_view_char_requested|Wärt Ihr gewillt, mich Eure Fertigkeiten wissen zu lassen?
dlga_pretneder_view_char_requested:supported_pretender_pretalk|Wohlan, bitte sehr.
dlga_supported_pretender_talk:close_window|{reg65?Meine Fürstin:Herr}, wir müssen weiter.
dlga_do_member_trade:member_talk|Sonst noch was?
dlga_member_pretalk:member_talk|Sonst noch was?
dlga_member_chat:member_talk|Ja, {s5}?
dlga_member_talk:member_direct_campaign|Als Marschall möchte ich, dass Ihr den Vasallen des Reiches eine Nachricht überbringt
dlga_member_talk:member_trade|Lasst mich Eure Ausrüstung sehen.
dlga_member_trade:do_member_trade|Sehr wohl, bitte seht selbst ...
dlga_member_talk:view_member_char_requested|Was könnt Ihr mir über Eure Fertigkeiten berichten?
dlga_view_member_char_requested:do_member_view_char|Nun, was meine Fertigkeiten anbetrifft ...
dlga_member_talk:member_separate|Wir müssen vorübergehend getrennte Wege gehen.
