lockitver|DO NOT DELETE THIS LINE! 2896
itm_arena_armor_red_pl|Rote Arenarüstung
itm_arena_armor_blue|Blaue Arenarüstung
itm_arena_armor_blue_pl|Blaue Arenarüstung
itm_arena_armor_green|Grüne Arenarüstung
itm_arena_armor_green_pl|Grüne Arenarüstung
itm_arena_armor_yellow|Gelbe Arenarüstung
itm_arena_armor_yellow_pl|Gelbe Arenarüstung
itm_arena_tunic_white|Weißer Arenawaffenrock
itm_arena_tunic_white_pl|Weißer Arenawaffenrock
itm_arena_tunic_red|Roter Arenawaffenrock
itm_arena_tunic_red_pl|Roter Arenawaffenrock
itm_arena_tunic_blue|Blauer Arenawaffenrock
itm_arena_tunic_blue_pl|Blauer Arenawaffenrock
itm_arena_tunic_green|Grüner Arenawaffenrock
itm_arena_tunic_green_pl|Grüner Arenawaffenrock
itm_arena_tunic_yellow|Gelber Arenawaffenrock
itm_arena_tunic_yellow_pl|Gelber Arenawaffenrock
itm_arena_helmet_red|Roter Arenahelm
itm_arena_helmet_red_pl|Roter Arenahelm
itm_arena_helmet_blue|Blauer Arenahelm
itm_arena_helmet_blue_pl|Blauer Arenahelm
itm_arena_helmet_green|Grüner Arenahelm
itm_arena_helmet_green_pl|Grüner Arenahelm
itm_arena_helmet_yellow|Gelber Arenahelm
itm_arena_helmet_yellow_pl|Gelber Arenahelm
itm_steppe_helmet_white|Weißer Steppenhelm
itm_steppe_helmet_white_pl|Weißer Steppenhelm
itm_steppe_helmet_red|Roter Steppenhelm
itm_steppe_helmet_red_pl|Roter Steppenhelm
itm_steppe_helmet_blue|Blauer Steppenhelm
itm_steppe_helmet_blue_pl|Blauer Steppenhelm
itm_steppe_helmet_green|Grüner Steppenhelm
itm_steppe_helmet_green_pl|Grüner Steppenhelm
itm_steppe_helmet_yellow|Gelber Steppenhelm
itm_steppe_helmet_yellow_pl|Gelber Steppenhelm
itm_tourney_helm_white|Weißer Turnierhelm
itm_tourney_helm_white_pl|Weißer Turnierhelm
itm_tourney_helm_red|Roter Turnierhelm
itm_tourney_helm_red_pl|Roter Turnierhelm
itm_tourney_helm_blue|Blauer Turnierhelm
itm_tourney_helm_blue_pl|Blauer Turnierhelm
itm_tourney_helm_green|Grüner Turnierhelm
itm_tourney_helm_green_pl|Grüner Turnierhelm
itm_tourney_helm_yellow|Gelber Turnierhelm
itm_tourney_helm_yellow_pl|Gelber Turnierhelm
itm_arena_turban_red|Arena-Turban
itm_arena_turban_red_pl|Arena-Turban
itm_arena_turban_blue|Arena-Turban
itm_arena_turban_blue_pl|Arena-Turban
itm_arena_turban_green|Arena-Turban
itm_arena_turban_green_pl|Arena-Turban
itm_arena_turban_yellow|Arena-Turban
itm_arena_turban_yellow_pl|Arena-Turban
itm_book_tactics|De Re Militari
itm_book_tactics_pl|De Re Militari
itm_book_persuasion|Rhetorica ad Herennium
itm_book_persuasion_pl|Rhetorica ad Herennium
itm_book_leadership|Das Leben von Alixenus dem Großen
itm_book_leadership_pl|Das Leben von Alixenus dem Großen
itm_book_intelligence|Aufsätze über Logik
itm_book_intelligence_pl|Aufsätze über Logik
itm_book_trade|Eine Abhandlung über den Wert der Dinge
itm_book_trade_pl|Eine Abhandlung über den Wert der Dinge
itm_book_weapon_mastery|Über die Kunst des Schwertkampfes
itm_book_weapon_mastery_pl|Über die Kunst des Schwertkampfes
itm_book_engineering|Methode mechanischer Theoreme
itm_book_engineering_pl|Methode mechanischer Theoreme
itm_book_wound_treatment_reference|Das Buch der Heilkunst
itm_book_wound_treatment_reference_pl|Das Buch der Heilkunst
itm_book_training_reference|Waffenleitfaden
itm_book_training_reference_pl|Waffenleitfaden
itm_book_surgery_reference|Das große Buch der Wundbehandlung
itm_book_surgery_reference_pl|Das große Buch der Wundbehandlung
itm_spice|Gewürze
itm_spice_pl|Gewürze
itm_salt|Salz
itm_salt_pl|Salz
itm_oil|Äl
itm_oil_pl|Äl
itm_pottery|Töpferwaren
itm_pottery_pl|Töpferwaren
itm_raw_flax|Flachsbündel
itm_raw_flax_pl|Flachsbündel
itm_linen|Leinen
itm_linen_pl|Leinen
itm_wool|Wolle
itm_wool_pl|Wolle
itm_wool_cloth|Wolltuch
itm_wool_cloth_pl|Wolltuch
itm_raw_silk|Rohe Seide
itm_raw_silk_pl|Rohe Seide
itm_raw_dyes|
itm_raw_dyes_pl|
itm_velvet|Samt
itm_velvet_pl|Samt
itm_iron|Eisen
itm_iron_pl|Eisen
itm_tools|Werkzeuge
itm_tools_pl|Werkzeuge
itm_raw_leather|Felle
itm_raw_leather_pl|Felle
itm_leatherwork|Bearbeitetes Leder
itm_leatherwork_pl|Bearbeitetes Leder
itm_raw_date_fruit|Datteln
itm_raw_date_fruit_pl|Datteln
itm_furs|Felle
itm_furs_pl|Felle
itm_wine|Wein
itm_wine_pl|Wein
itm_ale|Met
itm_ale_pl|Met
itm_smoked_fish|Räucherfisch
itm_smoked_fish_pl|Räucherfisch
itm_cheese|Käse
itm_cheese_pl|Käse
itm_honey|Honig
itm_honey_pl|Honig
itm_sausages|Würste
itm_sausages_pl|Würste
itm_cabbages|Kohlköpfe
itm_cabbages_pl|Kohlköpfe
itm_dried_meat|Dörrflesch
itm_dried_meat_pl|Dörrflesch
itm_apples|Frucht
itm_apples_pl|Frucht
itm_raw_grapes|Trauben
itm_raw_grapes_pl|Trauben
itm_raw_olives|Oliven
itm_raw_olives_pl|Oliven
itm_grain|Korn
itm_grain_pl|Korn
itm_cattle_meat|Rindfleisch
itm_cattle_meat_pl|Rindfleisch
itm_bread|Brot
itm_bread_pl|Brot
itm_chicken|Brathähnchen
itm_chicken_pl|Brathähnchen
itm_pork|Schweinefleisch
itm_pork_pl|Schweinefleisch
itm_butter|Butter
itm_butter_pl|Butter
itm_siege_supply|Supply
itm_siege_supply_pl|Supply
itm_quest_wine|Wein
itm_quest_wine_pl|Wein
itm_quest_ale|Bier
itm_quest_ale_pl|Bier
itm_sumpter_horse|Lastpferd
itm_sumpter_horse_pl|Lastpferd
itm_saddle_horse|Reitpferd
itm_saddle_horse_pl|Reitpferd
itm_steppe_horse|Steppenpferd
itm_steppe_horse_pl|Steppenpferd
itm_arabian_horse_a|Wüstenpferd
itm_arabian_horse_a_pl|Wüstenpferd
itm_courser|Rennpferd
itm_courser_pl|Rennpferd
itm_arabian_horse_b|Sarranidisches Pferd
itm_arabian_horse_b_pl|Sarranidisches Pferd
itm_hunter|Jagdpferd
itm_hunter_pl|Jagdpferd
itm_charger|Schlachtross
itm_charger_pl|Schlachtross
itm_arrows|Pfeile
itm_arrows_pl|Pfeile
itm_khergit_arrows|Khergitische Pfeile
itm_khergit_arrows_pl|Khergitische Pfeile
itm_barbed_arrows|Widerhakenpfeile
itm_barbed_arrows_pl|Widerhakenpfeile
itm_bodkin_arrows|Bodkin-Pfeile
itm_bodkin_arrows_pl|Bodkin-Pfeile
itm_bolts|Armbrustbolzen
itm_bolts_pl|Armbrustbolzen
itm_steel_bolts|Stahl-Armbrustbolzen
itm_steel_bolts_pl|Stahl-Armbrustbolzen
itm_cartridges|Cartridges
itm_cartridges_pl|Cartridges
itm_pilgrim_disguise|Wallfahrerverkleidung
itm_pilgrim_disguise_pl|Wallfahrerverkleidung
itm_pilgrim_hood|Wallfahrerkutte
itm_pilgrim_hood_pl|Wallfahrerkutte
itm_leather_gloves|Lederhandschuhe
itm_leather_gloves_pl|Lederhandschuhe
itm_mail_mittens|Kettenfäustlinge
itm_mail_mittens_pl|Kettenfäustlinge
itm_scale_gauntlets|Panzerhandschuhe
itm_scale_gauntlets_pl|Panzerhandschuhe
itm_lamellar_gauntlets|Lamellenhandschuhe
itm_lamellar_gauntlets_pl|Lamellenhandschuhe
itm_gauntlets|Handschuhe
itm_gauntlets_pl|Handschuhe
itm_wrapping_boots|Wickelstiefel
itm_wrapping_boots_pl|Wickelstiefel
itm_woolen_hose|Wollhose
itm_woolen_hose_pl|Wollhose
itm_blue_hose|Blaue Hose
itm_blue_hose_pl|Blaue Hose
itm_hunter_boots|Jägerstiefel
itm_hunter_boots_pl|Jägerstiefel
itm_hide_boots|Fellstiefel
itm_hide_boots_pl|Fellstiefel
itm_ankle_boots|Stiefeletten
itm_ankle_boots_pl|Stiefeletten
itm_nomad_boots|Nomadenstiefel
itm_nomad_boots_pl|Nomadenstiefel
itm_leather_boots|Lederstiefel
itm_leather_boots_pl|Lederstiefel
itm_splinted_leather_greaves|Metallverstärkte Lederbeinschienen
itm_splinted_leather_greaves_pl|Metallverstärkte Lederbeinschienen
itm_mail_chausses|Kettenbeinlinge
itm_mail_chausses_pl|Kettenbeinlinge
itm_splinted_greaves|Metallverstärkte Beinschienen
itm_splinted_greaves_pl|Metallverstärkte Beinschienen
itm_mail_boots|Kettenstiefel
itm_mail_boots_pl|Kettenstiefel
itm_iron_greaves|Eisenstiefel
itm_iron_greaves_pl|Eisenstiefel
itm_black_greaves|Schwarze Beinschienen
itm_black_greaves_pl|Schwarze Beinschienen
itm_khergit_leather_boots|Khergit-Lederstiefel
itm_khergit_leather_boots_pl|Khergit-Lederstiefel
itm_sarranid_boots_a|Sarranidische Schuhe
itm_sarranid_boots_a_pl|Sarranidische Schuhe
itm_sarranid_boots_b|Sarranidische Lederstiefel
itm_sarranid_boots_b_pl|Sarranidische Lederstiefel
itm_sarranid_boots_c|Plattenstiefel
itm_sarranid_boots_c_pl|Plattenstiefel
itm_sarranid_boots_d|Kettenstiefel
itm_sarranid_boots_d_pl|Kettenstiefel
itm_sarranid_head_cloth|Damenkopftuch
itm_sarranid_head_cloth_pl|Damenkopftuch
itm_sarranid_head_cloth_b|Damenkopftuch
itm_sarranid_head_cloth_b_pl|Damenkopftuch
itm_sarranid_felt_head_cloth|Kopftuch
itm_sarranid_felt_head_cloth_pl|Kopftuch
itm_sarranid_felt_head_cloth_b|Kopftuch
itm_sarranid_felt_head_cloth_b_pl|Kopftuch
itm_lady_dress_ruby|Frauenkleid
itm_lady_dress_ruby_pl|Frauenkleid
itm_lady_dress_green|Frauenkleid
itm_lady_dress_green_pl|Frauenkleid
itm_lady_dress_blue|Frauenkleid
itm_lady_dress_blue_pl|Frauenkleid
itm_red_dress|Rotes Kleid
itm_red_dress_pl|Rotes Kleid
itm_brown_dress|Braunes Kleid
itm_brown_dress_pl|Braunes Kleid
itm_green_dress|Grünes Kleid
itm_green_dress_pl|Grünes Kleid
itm_khergit_lady_dress|Khergit-Damenkleid
itm_khergit_lady_dress_pl|Khergit-Damenkleid
itm_khergit_lady_dress_b|Khergit-Damen-Ledertracht
itm_khergit_lady_dress_b_pl|Khergit-Damen-Ledertracht
itm_sarranid_lady_dress|Sarranidische Damentracht
itm_sarranid_lady_dress_pl|Sarranidische Damentracht
itm_sarranid_lady_dress_b|Sarranidische Damentracht
itm_sarranid_lady_dress_b_pl|Sarranidische Damentracht
itm_sarranid_common_dress|Sarranidische Tracht
itm_sarranid_common_dress_pl|Sarranidische Tracht
itm_sarranid_common_dress_b|Sarranidische Tracht
itm_sarranid_common_dress_b_pl|Sarranidische Tracht
itm_courtly_outfit|Höfische Kleidung
itm_courtly_outfit_pl|Höfische Kleidung
itm_nobleman_outfit|Nobelmannkleidung
itm_nobleman_outfit_pl|Nobelmannkleidung
itm_nomad_armor|Nomadenrüstung
itm_nomad_armor_pl|Nomadenrüstung
itm_khergit_armor|Khergitenrüstung
itm_khergit_armor_pl|Khergitenrüstung
itm_leather_jacket|Lederjacke
itm_leather_jacket_pl|Lederjacke
itm_rawhide_coat|Rohledermantel
itm_rawhide_coat_pl|Rohledermantel
itm_leather_armor|Lederrüstung
itm_leather_armor_pl|Lederrüstung
itm_fur_coat|Fellmantel
itm_fur_coat_pl|Fellmantel
itm_coat|Mantel
itm_coat_pl|Mantel
itm_leather_coat|Ledermantel
itm_leather_coat_pl|Ledermantel
itm_mail_coat|Kettenmantel
itm_mail_coat_pl|Kettenmantel
itm_long_mail_coat|Langer Kettenmantel
itm_long_mail_coat_pl|Langer Kettenmantel
itm_sleeveless_mail_coat|Ärmelloser Kettenmantel
itm_sleeveless_mail_coat_pl|Ärmelloser Kettenmantel
itm_sleeveless_coat|Ärmelloser Mantel
itm_sleeveless_coat_pl|Ärmelloser Mantel
itm_hide_coat|Fellmantel
itm_hide_coat_pl|Fellmantel
itm_merchant_outfit|Händlerkleidung
itm_merchant_outfit_pl|Händlerkleidung
itm_homespun_dress|Selbst gesponnene Kleidung
itm_homespun_dress_pl|Selbst gesponnene Kleidung
itm_thick_coat|Dicker Mantel
itm_thick_coat_pl|Dicker Mantel
itm_coat_with_cape|Kapuzenmantel
itm_coat_with_cape_pl|Kapuzenmantel
itm_steppe_outfit|Steppenkleidung
itm_steppe_outfit_pl|Steppenkleidung
itm_nordic_outfit|Nordische Kleidung
itm_nordic_outfit_pl|Nordische Kleidung
itm_nordic_armor|Nordische Rüstung
itm_nordic_armor_pl|Nordische Rüstung
itm_hide_armor|Fellrüstung
itm_hide_armor_pl|Fellrüstung
itm_cloaked_tunic|Waffenrock
itm_cloaked_tunic_pl|Waffenrock
itm_sleeveless_tunic|Ärmelloser Waffenrock
itm_sleeveless_tunic_pl|Ärmelloser Waffenrock
itm_sleeveless_leather_tunic|Ärmelloser Lederwaffenrock
itm_sleeveless_leather_tunic_pl|Ärmelloser Lederwaffenrock
itm_linen_shirt|Leinenhemd
itm_linen_shirt_pl|Leinenhemd
itm_wool_coat|Holzkohle
itm_wool_coat_pl|Holzkohle
itm_dress|Kleidung
itm_dress_pl|Kleidung
itm_blue_dress|Blaue Kleidung
itm_blue_dress_pl|Blaue Kleidung
itm_peasant_dress|Bauernkleidung
itm_peasant_dress_pl|Bauernkleidung
itm_woolen_dress|Wollkleidung
itm_woolen_dress_pl|Wollkleidung
itm_shirt|Hemd
itm_shirt_pl|Hemd
itm_linen_tunic|Leinenwaffenrock
itm_linen_tunic_pl|Leinenwaffenrock
itm_short_tunic|Grüner Waffenrock
itm_short_tunic_pl|Grüner Waffenrock
itm_red_shirt|Rotes Hemd
itm_red_shirt_pl|Rotes Hemd
itm_red_tunic|Roter Waffenrock
itm_red_tunic_pl|Roter Waffenrock
itm_blue_tunic|Blauer Waffenrock
itm_blue_tunic_pl|Blauer Waffenrock
itm_robe|Robe
itm_robe_pl|Robe
itm_coarse_tunic|Waffenrock mit Weste
itm_coarse_tunic_pl|Waffenrock mit Weste
itm_leather_apron|Lederschürze
itm_leather_apron_pl|Lederschürze
itm_tabard|Wappenrock
itm_tabard_pl|Wappenrock
itm_leather_vest|Lederweste
itm_leather_vest_pl|Lederweste
itm_steppe_armor|Steppenrüstung
itm_steppe_armor_pl|Steppenrüstung
itm_gambeson|Gambeson
itm_gambeson_pl|Gambeson
itm_blue_gambeson|Blauer Gambeson
itm_blue_gambeson_pl|Blauer Gambeson
itm_red_gambeson|Roter Gambeson
itm_red_gambeson_pl|Roter Gambeson
itm_padded_cloth|Aketon
itm_padded_cloth_pl|Aketon
itm_aketon_green|Gefütterte Stoffrüstung
itm_aketon_green_pl|Gefütterte Stoffrüstung
itm_leather_jerkin|Lederwams
itm_leather_jerkin_pl|Lederwams
itm_nomad_vest|Nomadenweste
itm_nomad_vest_pl|Nomadenweste
itm_ragged_outfit|Zerlumpte Kleidung
itm_ragged_outfit_pl|Zerlumpte Kleidung
itm_padded_leather|Gefütterte Lederrüstung
itm_padded_leather_pl|Gefütterte Lederrüstung
itm_tribal_warrior_outfit|Stammeskriegerkleidung
itm_tribal_warrior_outfit_pl|Stammeskriegerkleidung
itm_nomad_robe|Nomadenrobe
itm_nomad_robe_pl|Nomadenrobe
itm_studded_leather_coat|Ledermantel mit Nieten
itm_studded_leather_coat_pl|Ledermantel mit Nieten
itm_byrnie|Hauberke
itm_byrnie_pl|Hauberke
itm_haubergeon|Kettenrüstung
itm_haubergeon_pl|Kettenrüstung
itm_lamellar_vest|Lamellenweste
itm_lamellar_vest_pl|Lamellenweste
itm_lamellar_vest_khergit|Khergit-Lamellenweste
itm_lamellar_vest_khergit_pl|Khergit-Lamellenweste
itm_mail_shirt|Kettenhemd
itm_mail_shirt_pl|Kettenhemd
itm_mail_hauberk|Kettenhauberke
itm_mail_hauberk_pl|Kettenhauberke
itm_mail_with_surcoat|Kettenhemd mit Wappenrock
itm_mail_with_surcoat_pl|Kettenhemd mit Wappenrock
itm_surcoat_over_mail|Wappenrock über Kettenhemd
itm_surcoat_over_mail_pl|Wappenrock über Kettenhemd
itm_brigandine_red|Brigantine
itm_brigandine_red_pl|Brigantine
itm_lamellar_armor|Lamellenharnisch
itm_lamellar_armor_pl|Lamellenharnisch
itm_scale_armor|Schuppenpanzer
itm_scale_armor_pl|Schuppenpanzer
itm_banded_armor|Ringharnisch
itm_banded_armor_pl|Ringharnisch
itm_cuir_bouilli|Cuir Bouilli
itm_cuir_bouilli_pl|Cuir Bouilli
itm_coat_of_plates|Plattenrock
itm_coat_of_plates_pl|Plattenrock
itm_coat_of_plates_red|Plattenrock
itm_coat_of_plates_red_pl|Plattenrock
itm_plate_armor|Plattenrüstung
itm_plate_armor_pl|Plattenrüstung
itm_black_armor|Schwarze Rüstung
itm_black_armor_pl|Schwarze Rüstung
itm_pelt_coat|Pelzmantel
itm_pelt_coat_pl|Pelzmantel
itm_khergit_elite_armor|Khergit-Eliterüstung
itm_khergit_elite_armor_pl|Khergit-Eliterüstung
itm_vaegir_elite_armor|Vaegir-Eliterüstung
itm_vaegir_elite_armor_pl|Vaegir-Eliterüstung
itm_sarranid_elite_armor|Sarranidische Eliterüstung
itm_sarranid_elite_armor_pl|Sarranidische Eliterüstung
itm_sarranid_dress_a|Tracht
itm_sarranid_dress_a_pl|Tracht
itm_sarranid_dress_b|Tracht
itm_sarranid_dress_b_pl|Tracht
itm_sarranid_cloth_robe|Abgetragene Robe
itm_sarranid_cloth_robe_pl|Abgetragene Robe
itm_sarranid_cloth_robe_b|Abgetragene Robe
itm_sarranid_cloth_robe_b_pl|Abgetragene Robe
itm_skirmisher_armor|Scharmützlerrüstung
itm_skirmisher_armor_pl|Scharmützlerrüstung
itm_archers_vest|Gefütterte Bogenschützenweste
itm_archers_vest_pl|Gefütterte Bogenschützenweste
itm_sarranid_leather_armor|Sarranidische Lederrüstung
itm_sarranid_leather_armor_pl|Sarranidische Lederrüstung
itm_sarranid_cavalry_robe|Kavalleristenrobe
itm_sarranid_cavalry_robe_pl|Kavalleristenrobe
itm_arabian_armor_b|Sarranidische Wächterrüstung
itm_arabian_armor_b_pl|Sarranidische Wächterrüstung
itm_sarranid_mail_shirt|Sarranidisches Kettenhemd
itm_sarranid_mail_shirt_pl|Sarranidisches Kettenhemd
itm_mamluke_mail|Mamluken-Kettenhemd
itm_mamluke_mail_pl|Mamluken-Kettenhemd
itm_burlap_tunic|Jute-Waffenrock
itm_burlap_tunic_pl|Jute-Waffenrock
itm_heraldic_mail_with_surcoat|Heraldisches Kettenhemd mit Wappenrock
itm_heraldic_mail_with_surcoat_pl|Heraldisches Kettenhemd mit Wappenrock
itm_heraldic_mail_with_tunic|Heraldisches Kettenhemd
itm_heraldic_mail_with_tunic_pl|Heraldisches Kettenhemd
itm_heraldic_mail_with_tunic_b|Heraldisches Kettenhemd
itm_heraldic_mail_with_tunic_b_pl|Heraldisches Kettenhemd
itm_heraldic_mail_with_tabard|Heraldisches Kettenhemd mit Wappenrock
itm_heraldic_mail_with_tabard_pl|Heraldisches Kettenhemd mit Wappenrock
itm_turret_hat_ruby|Gebende
itm_turret_hat_ruby_pl|Gebende
itm_turret_hat_blue|Gebende
itm_turret_hat_blue_pl|Gebende
itm_turret_hat_green|Barbette
itm_turret_hat_green_pl|Barbette
itm_head_wrappings|Kopfwickel
itm_head_wrappings_pl|Kopfwickel
itm_court_hat|Gebende
itm_court_hat_pl|Gebende
itm_wimple_a|Wimpel
itm_wimple_a_pl|Wimpel
itm_wimple_with_veil|Wimpel mit Schleier
itm_wimple_with_veil_pl|Wimpel mit Schleier
itm_straw_hat|Strohhut
itm_straw_hat_pl|Strohhut
itm_common_hood|Haube
itm_common_hood_pl|Haube
itm_hood_b|Haube
itm_hood_b_pl|Haube
itm_hood_c|Haube
itm_hood_c_pl|Haube
itm_hood_d|Haube
itm_hood_d_pl|Haube
itm_headcloth|Kopftuch
itm_headcloth_pl|Kopftuch
itm_woolen_hood|Wollhaube
itm_woolen_hood_pl|Wollhaube
itm_arming_cap|Unterhaube
itm_arming_cap_pl|Unterhaube
itm_fur_hat|Fellhaube
itm_fur_hat_pl|Fellhaube
itm_nomad_cap|Nomadenkappe
itm_nomad_cap_pl|Nomadenkappe
itm_nomad_cap_b|Nomadenkappe
itm_nomad_cap_b_pl|Nomadenkappe
itm_steppe_cap|Steppenkappe
itm_steppe_cap_pl|Steppenkappe
itm_padded_coif|Gefütterte Bundhaube
itm_padded_coif_pl|Gefütterte Bundhaube
itm_woolen_cap|Wollkappe
itm_woolen_cap_pl|Wollkappe
itm_felt_hat|FIlzhut
itm_felt_hat_pl|FIlzhut
itm_felt_hat_b|Filzhut
itm_felt_hat_b_pl|Filzhut
itm_leather_cap|Lederhaube
itm_leather_cap_pl|Lederhaube
itm_female_hood|Damenhaube
itm_female_hood_pl|Damenhaube
itm_leather_steppe_cap_a|Steppenkappe
itm_leather_steppe_cap_a_pl|Steppenkappe
itm_leather_steppe_cap_b|Steppenkappe
itm_leather_steppe_cap_b_pl|Steppenkappe
itm_leather_steppe_cap_c|Steppenkappe
itm_leather_steppe_cap_c_pl|Steppenkappe
itm_leather_warrior_cap|Leder-Kriegerkappe
itm_leather_warrior_cap_pl|Leder-Kriegerkappe
itm_skullcap|Scheitelkappe
itm_skullcap_pl|Scheitelkappe
itm_mail_coif|Kettenhaube
itm_mail_coif_pl|Kettenhaube
itm_footman_helmet|Fußsoldatenhelm
itm_footman_helmet_pl|Fußsoldatenhelm
itm_nasal_helmet|Nasalhelm
itm_nasal_helmet_pl|Nasalhelm
itm_norman_helmet|Normannenhelm
itm_norman_helmet_pl|Normannenhelm
itm_segmented_helmet|Segmenthelm
itm_segmented_helmet_pl|Segmenthelm
itm_helmet_with_neckguard|Helm mit Nackenschutz
itm_helmet_with_neckguard_pl|Helm mit Nackenschutz
itm_flat_topped_helmet|Flachhelm
itm_flat_topped_helmet_pl|Flachhelm
itm_kettle_hat|Eisenhut
itm_kettle_hat_pl|Eisenhut
itm_spiked_helmet|Dornhelm
itm_spiked_helmet_pl|Dornhelm
itm_nordic_helmet|Nordischer Helm
itm_nordic_helmet_pl|Nordischer Helm
itm_khergit_lady_hat|Khergit-Damenhut
itm_khergit_lady_hat_pl|Khergit-Damenhut
itm_khergit_lady_hat_b|Khergit-Damen-Lederhut
itm_khergit_lady_hat_b_pl|Khergit-Damen-Lederhut
itm_sarranid_felt_hat|Sarranidischer Filzhut
itm_sarranid_felt_hat_pl|Sarranidischer Filzhut
itm_turban|Turban
itm_turban_pl|Turban
itm_desert_turban|Wüstenturban
itm_desert_turban_pl|Wüstenturban
itm_sarranid_warrior_cap|Sarranidische Kriegerhaube
itm_sarranid_warrior_cap_pl|Sarranidische Kriegerhaube
itm_sarranid_horseman_helmet|Reiterhelm
