str_no_string|NO STRING! 
str_attack_walls_continue|浴 血 的 戰 斗 展 現 了 雙 方 的 英 勇。 盡 管 你 的 戰 士 很 努 力， 城 堡 上 還 是 飄 著 敵 人 的 旗 子。 
str_order_attack_success|你 的 士 兵 奮 勇 擊 退 了 敵 人。 
str_order_attack_failure|你 看 著 敵 人 砍 翻 了 你 最 後 一 個 戰 士。 
str_order_attack_continue|你 的 士 兵 與 敵 人 遭 遇， 卻 無 法 將 他 們 擊 退。 
str_join_order_attack_success|你 的 士 兵 和 你 的 盟 軍 合 力 打 敗 了 敵 人。 
str_join_order_attack_failure|你 看 著 敵 人 砍 翻 了 你 最 後 一 個 戰 士。 
str_join_order_attack_continue|你 的 士 兵 和 盟 友 一 起 與 敵 廝 殺， 卻 無 法 將 他 們 殺 光。 
str_siege_defender_order_attack_success|防 守 方 奮 勇 殺 敵， 擊 敗 了 敵 人。 
str_siege_defender_order_attack_failure|你 絕 望 的 看 著 圍 攻 的 敵 人 殺 死 了 最 後 的 一 個 抵 抗 者。 
str_siege_defender_order_attack_continue|防 守 方 迎 擊 敵 人， 但 最 終 還 是 敗 下 陣 來。 
str_hero_taken_prisoner|{s3}的 {s1}被 {s2}俘 虜。 
str_hero_freed|{s3}的 {s1}被 {s2}成 功 解 救。 
str_center_captured|{s2}從 {s3}那 裡 奪 取 了 {s1}。 
str_troop_relation_increased|你 與 {s1}的 關 系 從 {reg1}提 升 到 {reg2}。 
str_troop_relation_detoriated|你 與 {s1}的 關 系 從 {reg1}惡 化 為 {reg2}。 
str_faction_relation_increased|你 與 {s1}的 關 系 從 {reg1}提 升 到 {reg2}。 
str_faction_relation_detoriated|你 與 {s1}的 關 系 從 {reg1}惡 化 為 {reg2}。 
str_party_gained_morale|部 隊 的 士 氣 加 {reg1}。 
str_party_lost_morale|部 隊 的 士 氣 減 {reg1}。 
str_other_party_gained_morale|{s1}獲 得 {reg1}士 氣。 
str_other_party_lost_morale|{s1}失 去 {reg1}士 氣。 
str_qst_follow_spy_noticed_you|那 個 間 諜 覺 察 到 你 了， 他 准 備 開 溜 了！ 
str_father|父 親 
str_husband|丈 夫 
str_wife|妻 子 
str_daughter|女 兒 
str_mother|母 親 
str_son|兒 子 
str_brother|兄 弟 
str_sister|姐 妹 
str_he|他 
str_she|她 
str_s3s_s2|{s3}的 {s2}
str_s5_is_s51|{s5}是 {s51}。 
str_s5_is_the_ruler_of_s51|{s5}是 {s51}的 領 主。 
str_s5_is_a_nobleman_of_s6|{s5}是 {s6}的 貴 族。 
str_relation_mnus_100|勢 同 水 火 的 
str_relation_mnus_90|勢 同 水 火 的 
str_relation_mnus_80|勢 同 水 火 的 
str_relation_mnus_70|充 滿 敵 意 的 
str_relation_mnus_60|充 滿 敵 意 的 
str_relation_mnus_50|狠 狠 地 盯 著 你 的 
str_relation_mnus_40|非 常 討 厭 你 的 
str_relation_mnus_30|開 始 厭 惡 你 的 
str_relation_mnus_20|警 惕 地 看 著 你 的 
str_relation_mnus_10|意 味 深 長 地 看 著 你 的 
str_relation_plus_0|面 無 表 情 的 看 著 你 的 
str_relation_plus_10|開 始 接 受 你 的 
str_relation_plus_20|友 善 地 看 著 你 的 
str_relation_plus_30|親 切 地 看 著 你 的 
str_relation_plus_40|熱 切 地 望 著 你 的 
str_relation_plus_50|對 你 交 口 稱 贊 的 
str_relation_plus_60|非 常 支 持 你 
str_relation_plus_70|非 常 尊 敬 你 
str_relation_plus_80|為 你 歡 呼 
str_relation_plus_90|對 你 忠 心 耿 耿 
str_relation_mnus_100_ns|{s60}與 你 勢 同 水 火。 
str_relation_mnus_90_ns|{s60}與 你 勢 同 水 火。 
str_relation_mnus_80_ns|{s60}與 你 勢 同 水 火。 
str_relation_mnus_70_ns|{s60}對 你 充 滿 敵 意。 
str_relation_mnus_60_ns|{s60}對 你 充 滿 敵 意。 
str_relation_mnus_50_ns|{s60}狠 狠 地 盯 著 你。 
str_relation_mnus_40_ns|{s60}非 常 討 厭 你。 
str_relation_mnus_30_ns|{s60}開 始 厭 惡 你。 
str_relation_mnus_20_ns|{s60}警 惕 地 看 著 你。 
str_relation_mnus_10_ns|{s60}意 味 深 長 地 看 著 你。 
str_relation_plus_0_ns|{s60}面 無 表 情 的 看 著 你。 
str_relation_plus_10_ns|{s60}開 始 接 受 你。 
str_relation_plus_20_ns|{s60}友 善 地 看 著 你。 
str_relation_plus_30_ns|{s60}親 切 地 看 著 你。 
str_relation_plus_40_ns|{s60}熱 切 地 望 著 你。 
str_relation_plus_50_ns|{s60}友 好 地 望 著 你。 
str_relation_plus_60_ns|{s60}非 常 支 持 你。 
str_relation_plus_70_ns|{s60}非 常 尊 敬 你。 
str_relation_plus_80_ns|{s60}為 你 歡 呼。 
str_relation_plus_90_ns|{s60}對 你 忠 心 耿 耿。 
str_relation_reg1|關 系： {reg1}
str_center_relation_mnus_100|當 地 居 民 與 你 勢 同 水 火 
str_center_relation_mnus_90|當 地 居 民 對 你 恨 之 入 骨 
str_center_relation_mnus_80|當 地 居 民 對 你 怒 視 
str_center_relation_mnus_70|當 地 居 民 對 你 充 滿 敵 意 
str_center_relation_mnus_60|當 地 居 民 非 常 憎 恨 你 
str_center_relation_mnus_50|當 地 居 民 狠 狠 地 盯 著 你 
str_center_relation_mnus_40|當 地 居 民 非 常 討 厭 你 
str_center_relation_mnus_30|當 地 居 民 開 始 厭 惡 你 
str_center_relation_mnus_20|當 地 居 民 警 惕 地 看 著 你 
str_center_relation_mnus_10|當 地 居 民 意 味 深 長 地 看 著 你 
str_center_relation_plus_0|當 地 居 民 面 無 表 情 的 看 著 你 
str_center_relation_plus_10|當 地 居 民 開 始 接 受 你 
str_center_relation_plus_20|當 地 居 民 友 善 地 看 著 你 
str_center_relation_plus_30|當 地 居 民 親 切 地 看 著 你 
str_center_relation_plus_40|當 地 居 民 熱 切 地 望 著 你 
str_center_relation_plus_50|當 地 居 民 對 你 交 口 稱 贊 
str_center_relation_plus_60|當 地 居 民 非 常 支 持 你 
str_center_relation_plus_70|當 地 居 民 非 常 尊 敬 你 
str_center_relation_plus_80|當 地 居 民 為 你 歡 呼 
str_center_relation_plus_90|當 地 居 民 對 你 忠 心 耿 耿 
str_town_prosperity_0|{s60}鎮 的 貧 窮 到 了 不 可 忍 受 的 地 步。 
str_town_prosperity_10|{s60}鎮 看 起 來 相 當 貧 窮 且 淒 涼。 
str_town_prosperity_20|{s60}鎮 看 起 來 非 常 貧 窮 且 荒 蕪。 
str_town_prosperity_30|{s60}鎮 看 起 來 很 貧 窮 且 被 忽 視。 
str_town_prosperity_40|{s60}鎮 看 起 來 有 點 貧 窮 且 在 奮 斗 中。 
str_town_prosperity_50|{s60}鎮 似 乎 很 不 起 眼。 
str_town_prosperity_60|{s60}鎮 似 乎 很 繁 榮。 
str_town_prosperity_70|{s60}鎮 似 乎 非 常 有 活 力。 
str_town_prosperity_80|{s60}鎮 看 起 來 很 富 有 而 且 很 氣 派。 
str_town_prosperity_90|{s60}鎮 看 起 來 非 常 富 有 而 且 物 質 豐 富。 
str_town_prosperity_100|{s60}鎮 看 起 來 極 其 富 有 而 且 富 麗 堂 皇。 
str_village_prosperity_0|{s60}村 的 貧 窮 到 了 不 可 忍 受 的 地 步。 
str_village_prosperity_10|{s60}村 看 起 來 相 當 貧 窮 且 淒 涼。 
str_village_prosperity_20|{s60}村 看 起 來 非 常 貧 窮 且 荒 蕪。 
str_village_prosperity_30|{s60}村 看 起 來 很 貧 窮 且 被 忽 視。 
str_village_prosperity_40|{s60}村 看 起 來 有 點 貧 窮 且 在 奮 斗 中。 
str_village_prosperity_50|{s60}村 似 乎 很 不 起 眼。 
str_village_prosperity_60|{s60}村 似 乎 很 繁 榮。 
str_village_prosperity_70|{s60}村 似 乎 非 常 有 活 力。 
str_village_prosperity_80|{s60}村 看 起 來 很 富 有 而 且 很 氣 派。 
str_village_prosperity_90|{s60}村 看 起 來 非 常 富 有 而 且 物 質 豐 富。 
str_village_prosperity_100|{s60}村 看 起 來 極 其 富 有 而 且 物 質 豐 富。 
str_town_alt_prosperity_0|在 市 場 出 售 的 那 很 少 幾 樣 東 西 似 乎 可 以 在 這 些 山 區 居 民 以 外 的 地 方 賣 個 好 價 錢。 這 些 人 營 養 不 良， 他 們 的 牲 口 也 病 歪 歪 的 像 要 死 了 一 樣， 而 且 他 們 交 易 的 工 具 也 都 破 破 爛 爛 的。 那 些 窮 街 陋 巷 都 遺 棄 給 了 成 堆 的 蒼 蠅 和 成 群 的 狗。 
str_town_alt_prosperity_20|你 聽 到 人 們 在 抱 怨 市 場 裡 日 用 品 的 價 格 而 且 半 數 東 西 都 缺 貨。 你 看 到 人 和 動 物 們 都 是 營 養 不 良 的 樣 子， 房 子 和 工 具 都 短 缺 而 且 需 要 修 補。 可 能 許 多 人 都 遷 到 別 的 地 方 去 找 份 工 作 去 了。 
str_town_alt_prosperity_40|你 聽 到 不 時 有 人 抱 怨 市 場 裡 日 用 品 的 價 格， 不 過 似 乎 還 算 有 合 理 數 量 的 商 品 在 出 售。 你 偶 然 看 到 有 遺 棄 的 房 子， 商 店， 或 者 手 推 車， 但 還 算 正 常。 
str_town_alt_prosperity_60|人 們 看 上 去 營 養 良 好， 而 且 對 生 活 比 較 滿 足。 工 匠 們 的 生 意 紅 火， 還 有 一 些 移 民 從 別 的 地 方 來 這 裡， 似 乎 是 想 試 試 運 氣 的。 
str_town_alt_prosperity_80|城 牆， 街 道， 和 住 宅 都 保 養 的 很 好。 市 場 裡 聚 集 著 被 這 裡 的 商 品 和 工 作 吸 引 的 附 近 地 區 的 移 民。 錘 打 聲 和 織 布 機 聲 此 起 彼 伏， 工 匠 們 的 作 坊 裡 生 意 熱 火 朝 天。 
str_village_alt_prosperity_0|只 有 一 部 分 人 能 夠 有 力 氣 下 地 干 活， 許 多 田 地 因 此 荒 蕪。 剩 下 的 人 大 多 面 黃 肌 瘦， 不 堪 勞 作， 或 者 已 經 離 鄉 乞 討 去 了。 牲 口 們 要 麼 已 經 很 久 沒 有 喂 過 了， 要 麼 干 脆 被 吃 掉 了， 其 中 的 一 些 殘 骸 還 被 丟 在 外 面 的 地 上， 它 們 的 骨 頭 被 野 獸 競 相 啃 食。 
str_village_alt_prosperity_20|有 一 些 人 和 牲 口 在 地 裡 干 活， 但 是 他 們 數 量 有 限， 這 使 得 一 部 分 村 民 不 得 不 背 井 離 鄉， 另 謀 生 路。 農 具 大 都 殘 破 不 堪。 一 部 分 邊 緣 的 田 地 看 上 去 就 要 被 灌 木 和 雜 草 重 新 占 領 了。 
str_village_alt_prosperity_40|田 地 和 果 園 裡 都 是 一 片 繁 忙 的 景 象， 村 民 們 都 按 著 時 節 忙 碌 手 頭 的 活 計。 不 管 是 人 還 是 牲 口， 看 上 去 都 健 康 強 壯。 不 過， 還 是 有 一 部 分 田 地 被 拋 荒 了， 還 有 一 部 分 圍 牆 看 上 去 急 需 修 葺， 看 來 這 個 村 子 的 人 手 還 不 是 很 寬 裕。 
str_village_alt_prosperity_60|田 地 和 果 園 裡 都 充 滿 了 活 力， 隨 處 可 見 的 小 麥 口 袋 和 風 干 肉 是 這 個 村 子 農 田 和 牧 園 生 產 能 力 的 最 好 證 明。 
str_village_alt_prosperity_80|田 地 和 果 園 裡 都 充 滿 了 活 力， 看 上 去 還 很 新 的 水 渠 說 明 這 個 村 子 的 農 民 在 耕 種 之 外， 還 有 足 夠 的 經 歷 和 時 間 來 干 這 些 活 計。 打 短 工 的 人 聚 集 在 此， 幫 忙 干 活， 讓 村 子 日 益 興 旺。 
str_oasis_village_alt_prosperity_0|那 片 棕 櫚 樹 林 幾 乎 被 遺 棄 了， 那 些 灌 溉 它 的 水 渠 也 都 被 淤 泥 堵 塞 住 了。 你 所 見 到 的 那 些 村 民 都 面 黃 肌 瘦， 勞 作 不 休。 牲 口 們 要 麼 已 經 很 久 沒 有 喂 過 了， 要 麼 干 脆 被 吃 掉 了， 其 中 的 一 些 殘 骸 還 被 丟 在 外 面 的 地 上， 它 們 的 骨 頭 被 沙 漠 裡 的 野 獸 競 相 啃 食。 
str_oasis_village_alt_prosperity_20|沒 有 村 民 可 以 去 照 料 那 片 棕 櫚 樹 林， 在 有 些 地 方， 沙 漠 已 經 侵 入 了 園 地。 許 多 水 渠 都 已 經 被 淤 泥 堵 塞 住 了， 水 井 和 儲 水 池 都 灌 滿 了 沙 子。 
str_oasis_village_alt_prosperity_40|人 們 都 在 忙 著 照 料 那 片 棕 櫚 樹 林， 爬 上 樹 頂 摘 取 果 實。 健 壯 的 牲 口 拖 著 唧 筒 和 運 水 的 小 車 向 地 裡 走 去。 不 過， 有 些 水 渠 和 儲 水 池 需 要 進 行 一 些 維 護 了。 
str_oasis_village_alt_prosperity_60|棕 櫚 樹 林 和 果 園 裡 都 充 滿 了 活 力。 農 民 們 在 樹 頂 上 快 樂 的 對 著 彼 此 呼 喊， 為 椰 棗 授 粉。 木 質 唧 筒 的 吱 嘎 聲， 牲 口 的 叫 聲， 在 村 民 精 心 維 護 下 的 縱 橫 水 渠 讓 村 子 顯 得 欣 欣 向 榮。 
str_oasis_village_alt_prosperity_80|棕 櫚 樹 林 裡 充 滿 了 活 力， 農 民 們 正 在 把 豐 收 的 椰 棗 裝 起 來， 運 到 市 場 上 去 賣。 人 們 都 忙 著 挖 掘 新 的 井 和 水 渠， 以 開 發 更 多 可 供 灌 溉 的 田 地。 
str_acres_grain|成 片 的 耕 地 
str_acres_orchard|成 片 的 果 園 和 葡 萄 園 
str_acres_oasis|大 片 灌 溉 良 好 的 田 地 
str_looms|織 布 機 
str_boats|小 船 
str_head_cattle|牛 頭 
str_head_sheep|羊 頭 
str_mills|磨 房 
str_kilns|燒 窯 
str_pans|平 底 鍋 
str_deposits|押 金 
str_hives|蜂 房 
str_breweries|釀 酒 廠 
str_presses|印 刷 機 
str_smithies|鐵 匠 鋪 
str_caravans|陸 地 商 隊 
str_traps|行 李 
str_gardens|小 花 園 
str_tanneries|制 革 桶 
str_master_miller|高 級 磨 坊 工 
str_master_brewer|高 級 釀 酒 工 
str_master_presser|高 級 熨 衣 工 
str_master_smith|高 級 鐵 匠 
str_master_tanner|高 級 皮 革 匠 
str_master_weaver|高 級 織 工 
str_master_dyer|高 級 染 匠 
str_war_report_minus_4|我 們 幾 乎 要 輸 掉 這 場 戰 爭 了 
str_war_report_minus_3|現 在 的 形 勢 看 起 來 有 些 嚴 峻 
str_war_report_minus_2|戰 事 進 展 得 不 太 順 利 
str_war_report_minus_1|如 果 我 們 能 振 作 起 來， 我 們 還 是 可 以 贏 得 這 場 戰 爭 的 
str_war_report_0|我 們 與 敵 人 勢 均 力 敵 
str_war_report_plus_1|我 們 有 一 定 機 會 贏 得 這 場 戰 爭 
str_war_report_plus_2|戰 事 進 展 得 非 常 順 利 
str_war_report_plus_3|打 敗 他 們 完 全 不 成 問 題 
str_war_report_plus_4|我 們 幾 乎 要 贏 得 這 場 戰 爭 了 
str_persuasion_summary_very_bad|你 盡 最 大 努 力 去 說 服 {s50}， 但 是 你 沒 有 一 個 論 證 是 正 確 的。 每 次 你 開 始 想 使 表 達 的 東 西 變 得 有 意 義， 但 是 你 說 的 東 西 似 乎 都 是 徹 底 錯 誤 的， 以 至 於 使 你 自 己 的 思 路 都 斷 了。 當 你 結 束 交 涉 的 時 候， 你 都 沒 能 把 你 認 同 的 某 一 個 觀 點 表 達 清 楚， 而 且 你 意 識 到 你 所 做 的 一 切 是 在 把 自 己 推 進 一 個 越 挖 越 深 的 大 坑 裡。 毫 不 奇 怪， {s50}完 全 不 為 你 動。 
str_persuasion_summary_bad|你 試 著 說 服 {s50}， 但 是 {reg51?她 :他 }從 最 開 始 起 就 提 防 著 你。 你 再 好 的 辯 論 對 於 你 自 己 的 耳 朵 而 言 也 還 是 那 麼 空 洞。 {s50}同 樣 也 沒 能 從 你 說 的 東 西 看 出 什 麼 高 見。 
str_persuasion_summary_average|{s50}被 證 實 是 一 個 有 著 尖 銳 思 想 且 很 能 辯 論 的 人， 你 基 本 就 沒 有 辦 法 使 {reg51?她 :他 }反 過 來 接 受 你 的 任 何 觀 點。 最 終， 在 這 場 辯 論 中， 你 們 兩 人 都 沒 能 使 對 方 偏 向 各 自 的 立 場。 
str_persuasion_summary_good|憑 借 敏 捷 的 思 維 和 流 暢 的 辯 論， 你 設 法 把 你 的 觀 點 論 證 得 很 好， 迫 使 {s50}認 同 你 的 一 些 觀 點。 然 而 {reg51?她 :他 }仍 然 對 你 的 要 求 表 示 懷 疑。 
str_persuasion_summary_very_good|你 富 有 激 情 的 演 講 像 詩 歌 一 樣 在 聽 眾 耳 朵 裡 回 想。 整 個 世 界 似 乎 都 安 靜 下 來 以 便 更 清 楚 地 聽 你 演 講。 這 些 激 勵 人 心 的 話 語 把 {s50}深 深 打 動 了， {reg51?她 :他 }看 起 來 非 常 樂 意 幫 助 你。 
str_secret_sign_1|大 衣 櫃 在 午 夜 的 時 候 跳 起 舞 來…… 
str_secret_sign_2|我 正 在 賣 這 些 庫 吉 特 掛 毯。 你 想 買 一 條 嗎？ 
str_secret_sign_3|我 的 一 個 朋 友 的 朋 友 送 我…… 
str_secret_sign_4|風 猛 烈 裡 從 東 面 吹 來， 這 條 河 的 水 變 紅 了…… 
str_countersign_1|但 是 他 是 為 梳 妝 台 或 者 燭 台 而 跳 的 嗎？ 
str_countersign_2|是 的， 我 想 買 一 條， 你 有 藍 色 的 嗎？ 
str_countersign_3|但 是， 我 的 朋 友， 你 朋 友 的 朋 友 沒 有 一 個 朋 友 會 是 像 我 這 樣 的。 
str_countersign_4|你 生 病 了 嗎？ 
str_name_1|沃 巴 得 
str_name_2|依 斯 卡 爾 
str_name_3|西 格 馬 
str_name_4|泰 爾 斯 科 
str_name_5|裡 特 曼 德 
str_name_6|艾 爾 斯 
str_name_7|勞 爾 克 
str_name_8|布 萊 格 馬 斯 
str_name_9|塔 爾 
str_name_10|萊 明 
str_name_11|敘 爾 科 
str_name_12|普 它 
str_name_13|塔 瑪 斯 
str_name_14|裡 查 德 
str_name_15|沃 奇 斯 
str_name_16|魯 爾 克 
str_name_17|馬 倫 德 
str_name_18|奧 格 倫 
str_name_19|代 納 德 
str_name_20|卓 亞 
str_name_21|萊 瑪 
str_name_22|卡 爾 達 朗 
str_name_23|帕 瑞 斯 
str_name_24|昆 均 
str_name_25|帕 奇 拉 克 
str_surname_1|烏 克 斯 豪 爾 的 {s50}
str_surname_2|窩 車 則 的 {s50}
str_surname_3|日 瓦 丁 的 {s50}
str_surname_4|蘇 諾 的 {s50}
str_surname_5|傑 爾 喀 拉 的 {s50}
str_surname_6|維 魯 加 的 {s50}
str_surname_7|哈 爾 瑪 的 {s50}
str_surname_8|庫 勞 的 {s50}
str_surname_9|薩 哥 斯 的 {s50}
str_surname_10|提 哈 的 {s50}
str_surname_11|禪 達 的 {s50}
str_surname_12|日 瓦 車 則 的 {s50}
str_surname_13|窩 車 則 的 {s50}
str_surname_14|艾 勒 代 葛 的 {s50}
str_surname_15|葉 瑞 閣 的 {s50}
str_surname_16|比 格 倫 的 {s50}
str_surname_17|夏 普 斯 特 的 {s50}
str_surname_18|哈 茵 的 {s50}
str_surname_19|塞 倫 的 {s50}
str_surname_20|托 斯 德 爾 的 {s50}
str_surname_21|高 個 的 {s50}
str_surname_22|瘦 弱 的 {s50}
str_surname_23|苗 條 的 {s50}
str_surname_24|精 瘦 的 {s50}
str_surname_25|貧 窮 的 {s50}
str_surname_26|丑 陋 的 {s50}
str_surname_27|誠 實 的 {s50}
str_surname_28|可 怕 的 {s50}
str_surname_29|激 進 的 {s50}
str_surname_30|陰 險 的 {s50}
str_surname_31|矮 個 的 {s50}
str_surname_32|單 純 的 {s50}
str_surname_33|無 畏 的 {s50}
str_surname_34|勇 敢 的 {s50}
str_surname_35|小 心 的 {s50}
str_surname_36|膽 小 的 {s50}
str_surname_37|機 警 的 {s50}
str_surname_38|性 急 的 {s50}
str_surname_39|機 智 的 {s50}
str_surname_40|冒 失 的 {s50}
str_surname_41|沖 動 的 {s50}
str_surnames_end|surnames end 
str_number_of_troops_killed_reg1|殺 敵 數： {reg1}
str_number_of_troops_wounded_reg1|傷 敵 數： {reg1}
str_number_of_own_troops_killed_reg1|我 方 陣 亡： {reg1}
str_number_of_own_troops_wounded_reg1|我 方 受 傷： {reg1}
str_retreat|撤 退！ 
str_siege_continues|繼 續 戰 斗…… 
str_casualty_display|我 方 傷 亡： {s10}^ 敵 方 傷 亡： {s11}^{s12}
str_casualty_display_hp|你 受 到 {reg1}點 傷 害。 
str_quest_log_updated|任 務 日 志 更 新…… 
str_banner_selection_text|你 被 授 予 攜 帶 旗 幟 的 權 利。 旗 幟 是 身 份 與 榮 耀 的 象 征。 你 想 選 擇 哪 種 旗 幟？ 
str_retirement_text_1|當 你 意 識 到 你 將 入 不 敷 出 的 時 候 已 經 晚 了。 即 使 精 打 細 算 你 也 很 快 花 光 了 身 上 所 有 的 錢， 而 你 在 窘 困 中 進 行 了 幾 次 令 人 絕 望 的 努 力 企 圖 重 新 開 始 自 己 的 冒 險。 最 後 你 在 {s9}城 裡 當 了 個 乞 丐， 靠 接 濟 和 教 堂 的 施 捨 過 活。 
str_retirement_text_2|當 你 意 識 到 你 將 入 不 敷 出 的 時 候 已 經 晚 了。 即 使 精 打 細 算 你 也 很 快 花 光 了 身 上 所 有 的 錢。 當 你 的 錢 很 快 地 在 你 的 手 中 消 失 你 被 迫 開 始 了 在 {s9}城 的 後 街 小 巷 裡 的 犯 罪 生 涯， 用 你 的 那 點 能 耐 靠 打 劫 婦 女 以 及 貧 窮 的 市 民 勉 強 維 持 生 活。 
str_retirement_text_3|當 你 意 識 到 你 將 入 不 敷 出 的 時 候 已 經 晚 了。 即 使 精 打 細 算 你 也 很 快 花 光 了 身 上 所 有 的 錢， 最 後 作 為 一 個 身 無 分 文 的 流 浪 者， 從 一 個 酒 館 漂 流 到 另 一 個 酒 館， 靠 講 些 沒 人 相 信 的 戰 爭 故 事 來 討 口 酒 喝。 
str_retirement_text_4|你 存 下 來 的 錢 並 不 能 維 持 多 久， 但 是 你 想 辦 法 湊 了 足 夠 的 錢 在 {s7}村 莊 的 附 近 買 了 一 小 片 地。 當 上 了 自 由 農。 很 快 你 就 吸 引 了 未 來 的 {妻 子/丈 夫}。 現 在 你 就 成 了 當 地 的 英 雄。 你 時 常 在 宴 會 上 得 到 人 們 的 尊 重， 而 你 的 冒 險 經 歷 在 酒 館 和 客 棧 一 遍 又 一 遍 地 被 人 們 口 口 相 傳， 所 以 孩 子 們 將 永 遠 記 得 你 的 事 跡。 
str_retirement_text_5|你 存 下 來 的 錢 並 不 能 維 持 多 久， 不 過 還 是 夠 用 來 在 {s9}城 買 個 小 酒 館。 盡 管 當 地 人 一 開 始 對 你 有 所 提 防， 他 們 很 快 就 接 受 容 納 了 你。 現 在 你 讓 酒 館 成 了 一 個 受 歡 迎 的 宴 會 和 見 面 場 所。 人 們 從 數 英 裡 以 外 趕 來 吃 飯 和 留 宿， 因 為 他 們 都 被 你 絕 對 的 聲 望 和 你 所 說 的 那 些 冒 險 歲 月 裡 眼 花 繚 亂 的 故 事 迷 住 了。 
