itm_no_item|INVALID ITEM 
itm_practice_bolts_9_amount_pl|練 習 弩 矢 
itm_practice_boots|訓 練 靴 
itm_practice_boots_pl|訓 練 靴 
itm_red_tourney_armor|紅 色 競 技 甲 
itm_red_tourney_armor_pl|紅 色 競 技 甲 
itm_blue_tourney_armor|藍 色 競 技 甲 
itm_blue_tourney_armor_pl|藍 色 競 技 甲 
itm_green_tourney_armor|綠 色 競 技 甲 
itm_green_tourney_armor_pl|綠 色 競 技 甲 
itm_gold_tourney_armor|金 色 競 技 甲 
itm_gold_tourney_armor_pl|金 色 競 技 甲 
itm_red_tourney_helmet|紅 色 競 技 盔 
itm_red_tourney_helmet_pl|紅 色 競 技 盔 
itm_blue_tourney_helmet|藍 色 競 技 盔 
itm_blue_tourney_helmet_pl|藍 色 競 技 盔 
itm_green_tourney_helmet|綠 色 競 技 盔 
itm_green_tourney_helmet_pl|綠 色 競 技 盔 
itm_gold_tourney_helmet|金 色 競 技 盔 
itm_gold_tourney_helmet_pl|金 色 競 技 盔 
itm_arena_shield_red|盾 
itm_arena_shield_red_pl|盾 
itm_arena_shield_blue|盾 
itm_arena_shield_blue_pl|盾 
itm_arena_shield_green|盾 
itm_arena_shield_green_pl|盾 
itm_arena_shield_yellow|盾 
itm_arena_shield_yellow_pl|盾 
itm_arena_armor_white|白 色 競 技 甲 
itm_arena_armor_white_pl|白 色 競 技 甲 
itm_arena_armor_red|紅 色 競 技 甲 
itm_arena_armor_red_pl|紅 色 競 技 甲 
itm_arena_armor_blue|藍 色 競 技 甲 
itm_arena_armor_blue_pl|藍 色 競 技 甲 
itm_arena_armor_green|綠 色 競 技 甲 
itm_arena_armor_green_pl|綠 色 競 技 甲 
itm_arena_armor_yellow|黃 色 競 技 甲 
itm_arena_armor_yellow_pl|黃 色 競 技 甲 
itm_arena_tunic_white|白 色 競 技 短 袍 
itm_arena_tunic_white_pl|白 色 競 技 短 袍 
itm_arena_tunic_red|紅 色 競 技 短 袍 
itm_arena_tunic_red_pl|紅 色 競 技 短 袍 
itm_arena_tunic_blue|藍 色 競 技 短 袍 
itm_arena_tunic_blue_pl|藍 色 競 技 短 袍 
itm_arena_tunic_green|綠 色 競 技 短 袍 
itm_arena_tunic_green_pl|綠 色 競 技 短 袍 
itm_arena_tunic_yellow|黃 色 競 技 短 袍 
itm_arena_tunic_yellow_pl|黃 色 競 技 短 袍 
itm_arena_helmet_red|紅 色 競 技 盔 
itm_arena_helmet_red_pl|紅 色 競 技 盔 
itm_arena_helmet_blue|藍 色 競 技 盔 
itm_arena_helmet_blue_pl|藍 色 競 技 盔 
itm_arena_helmet_green|綠 色 競 技 盔 
itm_arena_helmet_green_pl|綠 色 競 技 盔 
itm_arena_helmet_yellow|黃 色 競 技 盔 
itm_arena_helmet_yellow_pl|黃 色 競 技 盔 
itm_steppe_helmet_white|白 色 草 原 盔 
itm_steppe_helmet_white_pl|白 色 草 原 盔 
itm_steppe_helmet_red|紅 色 草 原 盔 
itm_steppe_helmet_red_pl|紅 色 草 原 盔 
itm_steppe_helmet_blue|藍 色 草 原 盔 
itm_steppe_helmet_blue_pl|藍 色 草 原 盔 
itm_steppe_helmet_green|綠 色 草 原 盔 
itm_steppe_helmet_green_pl|綠 色 草 原 盔 
itm_steppe_helmet_yellow|黃 色 草 原 盔 
itm_steppe_helmet_yellow_pl|黃 色 草 原 盔 
itm_tourney_helm_white|白 色 賽 場 盔 
itm_tourney_helm_white_pl|白 色 賽 場 盔 
itm_tourney_helm_red|紅 色 賽 場 盔 
itm_tourney_helm_red_pl|紅 色 賽 場 盔 
itm_tourney_helm_blue|藍 色 賽 場 盔 
itm_tourney_helm_blue_pl|藍 色 賽 場 盔 
itm_tourney_helm_green|綠 色 賽 場 盔 
itm_tourney_helm_green_pl|綠 色 賽 場 盔 
itm_tourney_helm_yellow|黃 色 賽 場 盔 
itm_tourney_helm_yellow_pl|黃 色 賽 場 盔 
itm_arena_turban_red|競 技 頭 巾 
itm_arena_turban_red_pl|競 技 頭 巾 
itm_arena_turban_blue|競 技 頭 巾 
itm_arena_turban_blue_pl|競 技 頭 巾 
itm_arena_turban_green|競 技 頭 巾 
itm_arena_turban_green_pl|競 技 頭 巾 
itm_arena_turban_yellow|競 技 頭 巾 
itm_arena_turban_yellow_pl|競 技 頭 巾 
itm_book_tactics|羅 馬 軍 制 論 
itm_book_tactics_pl|羅 馬 軍 制 論 
itm_book_persuasion|修 辭 學 
itm_book_persuasion_pl|修 辭 學 
itm_book_leadership|亞 歷 山 大 傳 記 
itm_book_leadership_pl|亞 歷 山 大 傳 記 
itm_book_intelligence|邏 輯 論 文 
itm_book_intelligence_pl|邏 輯 論 文 
itm_book_trade|價 值 論 
itm_book_trade_pl|價 值 論 
itm_book_weapon_mastery|劍 斗 藝 術 
itm_book_weapon_mastery_pl|劍 斗 藝 術 
itm_book_engineering|機 械 原 理 
itm_book_engineering_pl|機 械 原 理 
itm_book_wound_treatment_reference|治 療 之 書 
itm_book_wound_treatment_reference_pl|治 療 之 書 
itm_book_training_reference|兵 器 手 冊 
itm_book_training_reference_pl|兵 器 手 冊 
itm_book_surgery_reference|手 術 大 全 
itm_book_surgery_reference_pl|手 術 大 全 
itm_spice|香 料 
itm_spice_pl|香 料 
itm_salt|鹽 
itm_salt_pl|鹽 
itm_oil|油 
itm_oil_pl|油 
itm_pottery|陶 器 
itm_pottery_pl|陶 器 
itm_raw_flax|亞 麻 捆 
itm_raw_flax_pl|亞 麻 捆 
itm_linen|亞 麻 布 
itm_linen_pl|亞 麻 布 
itm_wool|羊 毛 
itm_wool_pl|羊 毛 
itm_wool_cloth|毛 呢 
itm_wool_cloth_pl|毛 呢 
itm_raw_silk|生 絲 
itm_raw_silk_pl|生 絲 
itm_raw_dyes|染 料 
itm_raw_dyes_pl|染 料 
itm_velvet|天 鵝 絨 
itm_velvet_pl|天 鵝 絨 
itm_iron|生 鐵 
itm_iron_pl|生 鐵 
itm_tools|工 具 
itm_tools_pl|工 具 
itm_raw_leather|獸 皮 
itm_raw_leather_pl|獸 皮 
itm_leatherwork|皮 革 制 品 
itm_leatherwork_pl|皮 革 制 品 
itm_raw_date_fruit|棗 肉 
itm_raw_date_fruit_pl|棗 肉 
itm_furs|毛 皮 
itm_furs_pl|毛 皮 
itm_wine|葡 萄 酒 
itm_wine_pl|葡 萄 酒 
itm_ale|麥 芽 酒 
itm_ale_pl|麥 芽 酒 
itm_smoked_fish|熏 魚 
itm_smoked_fish_pl|熏 魚 
itm_cheese|奶 酪 
itm_cheese_pl|奶 酪 
itm_honey|蜂 蜜 
itm_honey_pl|蜂 蜜 
itm_sausages|臘 腸 
itm_sausages_pl|臘 腸 
itm_cabbages|卷 心 菜 
itm_cabbages_pl|卷 心 菜 
itm_dried_meat|風 干 肉 
itm_dried_meat_pl|風 干 肉 
itm_apples|蘋 果 
itm_apples_pl|蘋 果 
itm_raw_grapes|葡 萄 
itm_raw_grapes_pl|葡 萄 
itm_raw_olives|橄 欖 
itm_raw_olives_pl|橄 欖 
itm_grain|小 麥 
itm_grain_pl|小 麥 
itm_cattle_meat|牛 肉 
itm_cattle_meat_pl|牛 肉 
itm_bread|面 包 
itm_bread_pl|面 包 
itm_chicken|雞 肉 
itm_chicken_pl|雞 肉 
itm_pork|豬 肉 
itm_pork_pl|豬 肉 
itm_butter|奶 油 
itm_butter_pl|奶 油 
itm_siege_supply|補 給 品 
itm_siege_supply_pl|補 給 品 
itm_quest_wine|葡 萄 酒 
itm_quest_wine_pl|葡 萄 酒 
itm_quest_ale|麥 芽 酒 
itm_quest_ale_pl|麥 芽 酒 
itm_tutorial_sword|劍 
itm_tutorial_sword_pl|劍 
itm_tutorial_axe|斧 
itm_tutorial_axe_pl|斧 
itm_tutorial_spear|矛 
itm_tutorial_spear_pl|矛 
itm_tutorial_club|木 棒 
itm_tutorial_club_pl|木 棒 
itm_tutorial_battle_axe|戰 斗 斧 
itm_tutorial_battle_axe_pl|戰 斗 斧 
itm_tutorial_arrows|箭 
itm_tutorial_arrows_pl|箭 
itm_tutorial_bolts|弩 矢 
itm_tutorial_bolts_pl|弩 矢 
itm_tutorial_short_bow|短 弓 
itm_tutorial_short_bow_pl|短 弓 
itm_tutorial_crossbow|弩 
itm_tutorial_crossbow_pl|弩 
itm_tutorial_throwing_daggers|飛 刀 
itm_tutorial_throwing_daggers_pl|飛 刀 
itm_tutorial_saddle_horse|旅 行 馬 
itm_tutorial_saddle_horse_pl|旅 行 馬 
itm_tutorial_shield|箏 形 盾 
itm_tutorial_shield_pl|箏 形 盾 
itm_tutorial_staff_no_attack|棍 
itm_tutorial_staff_no_attack_pl|棍 
itm_tutorial_staff|棍 
itm_tutorial_staff_pl|棍 
itm_sumpter_horse|馱 馬 
itm_sumpter_horse_pl|馱 馬 
itm_saddle_horse|旅 行 馬 
itm_saddle_horse_pl|旅 行 馬 
itm_steppe_horse|草 原 馬 
itm_steppe_horse_pl|草 原 馬 
itm_arabian_horse_a|沙 漠 馬 
itm_arabian_horse_a_pl|沙 漠 馬 
itm_courser|駿 馬 
itm_courser_pl|駿 馬 
itm_arabian_horse_b|薩 蘭 德 馬 
itm_arabian_horse_b_pl|薩 蘭 德 馬 
itm_hunter|獵 馬 
itm_hunter_pl|獵 馬 
itm_warhorse|軍 馬 
itm_warhorse_pl|軍 馬 
itm_charger|戰 馬 
itm_charger_pl|戰 馬 
itm_arrows|箭 
itm_arrows_pl|箭 
itm_khergit_arrows|庫 吉 特 箭 
itm_khergit_arrows_pl|庫 吉 特 箭 
itm_barbed_arrows|倒 刺 箭 
itm_barbed_arrows_pl|倒 刺 箭 
itm_bodkin_arrows|錐 頭 箭 
itm_bodkin_arrows_pl|錐 頭 箭 
itm_bolts|弩 矢 
itm_bolts_pl|弩 矢 
itm_steel_bolts|鋼 弩 矢 
itm_steel_bolts_pl|鋼 弩 矢 
itm_cartridges|彈 藥 筒 
itm_cartridges_pl|彈 藥 筒 
itm_pilgrim_disguise|朝 聖 者 服 
itm_pilgrim_disguise_pl|朝 聖 者 服 
itm_pilgrim_hood|朝 聖 者 風 帽 
itm_pilgrim_hood_pl|朝 聖 者 風 帽 
itm_leather_gloves|皮 手 套 
itm_leather_gloves_pl|皮 手 套 
itm_mail_mittens|鏈 甲 手 套 
itm_mail_mittens_pl|鏈 甲 手 套 
itm_scale_gauntlets|魚 鱗 甲 臂 鎧 
itm_scale_gauntlets_pl|魚 鱗 甲 臂 鎧 
itm_lamellar_gauntlets|鱗 片 甲 臂 鎧 
itm_lamellar_gauntlets_pl|鱗 片 甲 臂 鎧 
itm_gauntlets|臂 鎧 
itm_gauntlets_pl|臂 鎧 
itm_wrapping_boots|綁 腿 
itm_wrapping_boots_pl|綁 腿 
itm_woolen_hose|羊 毛 褲 
itm_woolen_hose_pl|羊 毛 褲 
itm_blue_hose|藍 羊 毛 褲 
itm_blue_hose_pl|藍 羊 毛 褲 
itm_hunter_boots|獵 靴 
itm_hunter_boots_pl|獵 靴 
itm_hide_boots|獸 皮 靴 
itm_hide_boots_pl|獸 皮 靴 
itm_ankle_boots|短 靴 
itm_ankle_boots_pl|短 靴 
itm_nomad_boots|游 牧 靴 
itm_nomad_boots_pl|游 牧 靴 
itm_leather_boots|皮 靴 
itm_leather_boots_pl|皮 靴 
itm_splinted_leather_greaves|夾 板 式 皮 護 腿 
itm_splinted_leather_greaves_pl|夾 板 式 皮 護 腿 
itm_mail_chausses|鏈 甲 護 腿 
itm_mail_chausses_pl|鏈 甲 護 腿 
itm_splinted_greaves|夾 板 式 護 腿 
itm_splinted_greaves_pl|夾 板 式 護 腿 
itm_mail_boots|鏈 甲 靴 
itm_mail_boots_pl|鏈 甲 靴 
itm_iron_greaves|鐵 護 腿 
itm_iron_greaves_pl|鐵 護 腿 
itm_black_greaves|黑 護 腿 
itm_black_greaves_pl|黑 護 腿 
itm_khergit_leather_boots|庫 吉 特 皮 靴 
itm_khergit_leather_boots_pl|庫 吉 特 皮 靴 
itm_sarranid_boots_a|薩 蘭 德 鞋 
itm_sarranid_boots_a_pl|薩 蘭 德 鞋 
itm_sarranid_boots_b|薩 蘭 德 皮 靴 
itm_sarranid_boots_b_pl|薩 蘭 德 皮 靴 
itm_sarranid_boots_c|覆 板 靴 
itm_sarranid_boots_c_pl|覆 板 靴 
itm_sarranid_boots_d|薩 蘭 德 鏈 甲 靴 
itm_sarranid_boots_d_pl|薩 蘭 德 鏈 甲 靴 
itm_sarranid_head_cloth|女 式 頭 布 
itm_sarranid_head_cloth_pl|女 式 頭 布 
itm_sarranid_head_cloth_b|女 式 頭 布 
itm_sarranid_head_cloth_b_pl|女 式 頭 布 
itm_sarranid_felt_head_cloth|頭 布 
itm_sarranid_felt_head_cloth_pl|頭 布 
itm_sarranid_felt_head_cloth_b|頭 布 
itm_sarranid_felt_head_cloth_b_pl|頭 布 
itm_lady_dress_ruby|連 衣 裙 
itm_lady_dress_ruby_pl|連 衣 裙 
itm_lady_dress_green|連 衣 裙 
itm_lady_dress_green_pl|連 衣 裙 
itm_lady_dress_blue|連 衣 裙 
itm_lady_dress_blue_pl|連 衣 裙 
itm_red_dress|紅 色 連 衣 裙 
itm_red_dress_pl|紅 色 連 衣 裙 
itm_brown_dress|棕 色 連 衣 裙 
itm_brown_dress_pl|棕 色 連 衣 裙 
itm_green_dress|綠 色 連 衣 裙 
itm_green_dress_pl|綠 色 連 衣 裙 
itm_khergit_lady_dress|庫 吉 特 連 衣 裙 
itm_khergit_lady_dress_pl|庫 吉 特 連 衣 裙 
itm_khergit_lady_dress_b|庫 吉 特 女 式 皮 裙 
itm_khergit_lady_dress_b_pl|庫 吉 特 女 式 皮 裙 
itm_sarranid_lady_dress|薩 蘭 德 連 衣 裙 
itm_sarranid_lady_dress_pl|薩 蘭 德 連 衣 裙 
itm_sarranid_lady_dress_b|薩 蘭 德 連 衣 裙 
itm_sarranid_lady_dress_b_pl|薩 蘭 德 連 衣 裙 
itm_sarranid_common_dress|薩 蘭 德 裙 
itm_sarranid_common_dress_pl|薩 蘭 德 裙 
itm_sarranid_common_dress_b|薩 蘭 德 裙 
itm_sarranid_common_dress_b_pl|薩 蘭 德 裙 
itm_courtly_outfit|宮 廷 服 
itm_courtly_outfit_pl|宮 廷 服 
itm_nobleman_outfit|貴 族 服 
itm_nobleman_outfit_pl|貴 族 服 
itm_nomad_armor|游 牧 甲 
itm_nomad_armor_pl|游 牧 甲 
itm_khergit_armor|庫 吉 特 甲 
itm_khergit_armor_pl|庫 吉 特 甲 
itm_leather_jacket|皮 夾 克 
itm_leather_jacket_pl|皮 夾 克 
itm_rawhide_coat|生 皮 外 套 
itm_rawhide_coat_pl|生 皮 外 套 
itm_leather_armor|皮 甲 
itm_leather_armor_pl|皮 甲 
itm_fur_coat|毛 皮 外 套 
itm_fur_coat_pl|毛 皮 外 套 
itm_coat|外 套 
itm_coat_pl|外 套 
itm_leather_coat|皮 外 套 
itm_leather_coat_pl|皮 外 套 
itm_mail_coat|鏈 甲 外 套 
itm_mail_coat_pl|鏈 甲 外 套 
itm_long_mail_coat|長 擺 鏈 甲 外 套 
itm_long_mail_coat_pl|長 擺 鏈 甲 外 套 
itm_sleeveless_mail_coat|無 袖 鏈 甲 外 套 
itm_sleeveless_mail_coat_pl|無 袖 鏈 甲 外 套 
itm_sleeveless_coat|無 袖 外 套 
itm_sleeveless_coat_pl|無 袖 外 套 
itm_hide_coat|獸 皮 外 套 
itm_hide_coat_pl|獸 皮 外 套 
itm_merchant_outfit|商 人 服 
itm_merchant_outfit_pl|商 人 服 
itm_homespun_dress|粗 布 衣 
itm_homespun_dress_pl|粗 布 衣 
itm_thick_coat|厚 外 套 
itm_thick_coat_pl|厚 外 套 
itm_coat_with_cape|斗 篷 外 套 
itm_coat_with_cape_pl|斗 篷 外 套 
itm_steppe_outfit|草 原 服 
itm_steppe_outfit_pl|草 原 服 
itm_nordic_outfit|日 耳 曼 服 
itm_nordic_outfit_pl|日 耳 曼 服 
itm_nordic_armor|日 耳 曼 甲 
itm_nordic_armor_pl|日 耳 曼 甲 
itm_hide_armor|獸 皮 甲 
itm_hide_armor_pl|獸 皮 甲 
itm_cloaked_tunic|披 風 短 袍 
itm_cloaked_tunic_pl|披 風 短 袍 
itm_sleeveless_tunic|無 袖 短 袍 
itm_sleeveless_tunic_pl|無 袖 短 袍 
itm_sleeveless_leather_tunic|無 袖 皮 短 袍 
itm_sleeveless_leather_tunic_pl|無 袖 皮 短 袍 
itm_linen_shirt|亞 麻 襯 衫 
itm_linen_shirt_pl|亞 麻 襯 衫 
itm_wool_coat|羊 毛 外 套 
itm_wool_coat_pl|羊 毛 外 套 
itm_dress|連 衣 裙 
itm_dress_pl|連 衣 裙 
itm_blue_dress|藍 色 連 衣 裙 
itm_blue_dress_pl|藍 色 連 衣 裙 
itm_peasant_dress|農 婦 連 衣 裙 
itm_peasant_dress_pl|農 婦 連 衣 裙 
itm_woolen_dress|羊 毛 連 衣 裙 
itm_woolen_dress_pl|羊 毛 連 衣 裙 
itm_shirt|襯 衫 
itm_shirt_pl|襯 衫 
itm_linen_tunic|亞 麻 短 袍 
itm_linen_tunic_pl|亞 麻 短 袍 
itm_short_tunic|紅 色 短 袍 
itm_short_tunic_pl|紅 色 短 袍 
itm_red_shirt|紅 色 襯 衫 
itm_red_shirt_pl|紅 色 襯 衫 
itm_red_tunic|紅 色 短 袍 
itm_red_tunic_pl|紅 色 短 袍 
itm_green_tunic|綠 色 短 袍 
itm_green_tunic_pl|綠 色 短 袍 
itm_blue_tunic|藍 色 短 袍 
itm_blue_tunic_pl|藍 色 短 袍 
itm_robe|長 袍 
itm_robe_pl|長 袍 
itm_coarse_tunic|帶 背 心 短 袍 
itm_coarse_tunic_pl|帶 背 心 短 袍 
itm_leather_apron|皮 圍 裙 
itm_leather_apron_pl|皮 圍 裙 
itm_tabard|短 袖 袍 
itm_tabard_pl|短 袖 袍 
itm_leather_vest|皮 背 心 
itm_leather_vest_pl|皮 背 心 
itm_steppe_armor|草 原 甲 
itm_steppe_armor_pl|草 原 甲 
itm_gambeson|軟 甲 
itm_gambeson_pl|軟 甲 
itm_blue_gambeson|藍 色 軟 甲 
itm_blue_gambeson_pl|藍 色 軟 甲 
itm_red_gambeson|紅 色 軟 甲 
itm_red_gambeson_pl|紅 色 軟 甲 
itm_padded_cloth|棉 袍 
itm_padded_cloth_pl|棉 袍 
itm_aketon_green|棉 袍 
itm_aketon_green_pl|棉 袍 
itm_leather_jerkin|皮 短 袖 衣 
itm_leather_jerkin_pl|皮 短 袖 衣 
itm_nomad_vest|游 牧 背 心 
itm_nomad_vest_pl|游 牧 背 心 
itm_ragged_outfit|褶 皺 服 
itm_ragged_outfit_pl|褶 皺 服 
itm_padded_leather|棉 襯 皮 衣 
itm_padded_leather_pl|棉 襯 皮 衣 
itm_tribal_warrior_outfit|部 落 勇 士 服 
itm_tribal_warrior_outfit_pl|部 落 勇 士 服 
itm_nomad_robe|游 牧 袍 
itm_nomad_robe_pl|游 牧 袍 
itm_studded_leather_coat|釘 飾 皮 外 套 
itm_studded_leather_coat_pl|釘 飾 皮 外 套 
itm_byrnie|鏈 鎧 
itm_byrnie_pl|鏈 鎧 
itm_haubergeon|短 鏈 甲 
itm_haubergeon_pl|短 鏈 甲 
itm_lamellar_vest|鱗 甲 背 心 
itm_lamellar_vest_pl|鱗 甲 背 心 
itm_lamellar_vest_khergit|庫 吉 特 鱗 甲 背 心 
itm_lamellar_vest_khergit_pl|庫 吉 特 鱗 甲 背 心 
itm_mail_shirt|鏈 甲 衫 
itm_mail_shirt_pl|鏈 甲 衫 
itm_mail_hauberk|長 擺 鏈 甲 
itm_mail_hauberk_pl|長 擺 鏈 甲 
itm_mail_with_surcoat|鏈 甲 帶 罩 衫 
itm_mail_with_surcoat_pl|鏈 甲 帶 罩 衫 
itm_surcoat_over_mail|帶 罩 衫 鏈 甲 
itm_surcoat_over_mail_pl|帶 罩 衫 鏈 甲 
itm_brigandine_red|鎖 子 鎧 
itm_brigandine_red_pl|鎖 子 鎧 
itm_lamellar_armor|鱗 片 甲 
itm_lamellar_armor_pl|鱗 片 甲 
itm_scale_armor|魚 鱗 甲 
itm_scale_armor_pl|魚 鱗 甲 
itm_banded_armor|條 紋 甲 
itm_banded_armor_pl|條 紋 甲 
itm_cuir_bouilli|硬 皮 甲 
itm_cuir_bouilli_pl|硬 皮 甲 
itm_coat_of_plates|無 袖 板 甲 
itm_coat_of_plates_pl|無 袖 板 甲 
itm_coat_of_plates_red|無 袖 板 甲 
itm_coat_of_plates_red_pl|無 袖 板 甲 
itm_plate_armor|全 身 板 甲 
itm_plate_armor_pl|全 身 板 甲 
itm_black_armor|黑 甲 
itm_black_armor_pl|黑 甲 
itm_pelt_coat|毛 皮 外 套 
itm_pelt_coat_pl|毛 皮 外 套 
itm_khergit_elite_armor|庫 吉 特 精 銳 甲 
itm_khergit_elite_armor_pl|庫 吉 特 精 銳 甲 
itm_vaegir_elite_armor|維 吉 亞 精 銳 甲 
itm_vaegir_elite_armor_pl|維 吉 亞 精 銳 甲 
itm_sarranid_elite_armor|薩 蘭 德 精 銳 甲 
itm_sarranid_elite_armor_pl|薩 蘭 德 精 銳 甲 
itm_sarranid_dress_a|連 衣 裙 
itm_sarranid_dress_a_pl|連 衣 裙 
itm_sarranid_dress_b|連 衣 裙 
itm_sarranid_dress_b_pl|連 衣 裙 
itm_sarranid_cloth_robe|舊 長 袍 
itm_sarranid_cloth_robe_pl|舊 長 袍 
itm_sarranid_cloth_robe_b|舊 長 袍 
itm_sarranid_cloth_robe_b_pl|舊 長 袍 
itm_skirmisher_armor|游 擊 射 手 甲 
itm_skirmisher_armor_pl|游 擊 射 手 甲 
itm_archers_vest|射 手 棉 背 心 
itm_archers_vest_pl|射 手 棉 背 心 
itm_sarranid_leather_armor|薩 蘭 德 皮 甲 
itm_sarranid_leather_armor_pl|薩 蘭 德 皮 甲 
itm_sarranid_cavalry_robe|騎 兵 長 袍 
itm_sarranid_cavalry_robe_pl|騎 兵 長 袍 
itm_arabian_armor_b|薩 蘭 德 衛 士 甲 
itm_arabian_armor_b_pl|薩 蘭 德 衛 士 甲 
itm_sarranid_mail_shirt|薩 蘭 德 鏈 甲 衫 
itm_sarranid_mail_shirt_pl|薩 蘭 德 鏈 甲 衫 
itm_mamluke_mail|馬 穆 魯 克 鏈 甲 
itm_mamluke_mail_pl|馬 穆 魯 克 鏈 甲 
itm_burlap_tunic|麻 布 短 袍 
itm_burlap_tunic_pl|麻 布 短 袍 
itm_heraldic_mail_with_surcoat|紋 章 甲 帶 外 套 
itm_heraldic_mail_with_surcoat_pl|紋 章 甲 帶 外 套 
itm_heraldic_mail_with_tunic|紋 章 甲 
itm_heraldic_mail_with_tunic_pl|紋 章 甲 
itm_heraldic_mail_with_tunic_b|紋 章 甲 
itm_heraldic_mail_with_tunic_b_pl|紋 章 甲 
itm_heraldic_mail_with_tabard|紋 章 甲 帶 罩 袍 
itm_heraldic_mail_with_tabard_pl|紋 章 甲 帶 罩 袍 
itm_turret_hat_ruby|硬 邊 女 帽 
itm_turret_hat_ruby_pl|硬 邊 女 帽 
itm_turret_hat_blue|硬 邊 女 帽 
itm_turret_hat_blue_pl|硬 邊 女 帽 
itm_turret_hat_green|炮 台 帽 
itm_turret_hat_green_pl|炮 台 帽 
itm_head_wrappings|包 頭 巾 
itm_head_wrappings_pl|包 頭 巾 
itm_court_hat|硬 邊 女 帽 
itm_court_hat_pl|硬 邊 女 帽 
itm_wimple_a|包 頭 巾 
itm_wimple_a_pl|包 頭 巾 
itm_wimple_with_veil|帶 面 紗 頭 巾 
itm_wimple_with_veil_pl|帶 面 紗 頭 巾 
itm_straw_hat|草 帽 
itm_straw_hat_pl|草 帽 
itm_common_hood|風 帽 
itm_common_hood_pl|風 帽 
itm_hood_b|風 帽 
itm_hood_b_pl|風 帽 
itm_hood_c|風 帽 
itm_hood_c_pl|風 帽 
itm_hood_d|風 帽 
itm_hood_d_pl|風 帽 
itm_headcloth|包 頭 巾 
itm_headcloth_pl|包 頭 巾 
itm_woolen_hood|羊 毛 風 帽 
itm_woolen_hood_pl|羊 毛 風 帽 
itm_arming_cap|戰 士 帽 
itm_arming_cap_pl|戰 士 帽 
itm_fur_hat|毛 皮 帽 
itm_fur_hat_pl|毛 皮 帽 
itm_nomad_cap|游 牧 帽 
itm_nomad_cap_pl|游 牧 帽 
itm_nomad_cap_b|游 牧 帽 
itm_nomad_cap_b_pl|游 牧 帽 
