89
qstr_{s1}_has_cast_Warp_L {s1}_has_cast_Warp_Lightning.
qstr_{s1}_has_cast_savage {s1}_has_cast_savage_beast_of_horrors._Affected_allied_troops_have_augmented_damage_and_speed.
qstr_{s1}_has_cast_cascad {s1}_has_cast_cascading_fire_cloak._Nearby_allied_troops_have_increased_damage_protection.
qstr_{s1}_has_cast_flamin {s1}_has_cast_flaming_sword_of_Rhuin._Nearby_allied_troops_have_increased_melee_damage
qstr_{s1}_has_cast_Swords {s1}_has_cast_Swords_of_Doom._Nearby_allied_troops_have_increased_melee_damage
qstr_{s1}_has_cast_Flame_ {s1}_has_cast_Flame_Storm._Affected_enemy_troops_take_heavy_damage.
qstr_{s1}_has_cast_Confla {s1}_has_cast_Conflagration_of_Doom._Affected_enemy_troops_take_light_to_medium_damage.
qstr_{s1}_has_cast_walk_b {s1}_has_cast_walk_between_worlds._Nearby_allied_troops_have_augmented_speed_and_dodge.
qstr_{s1}_has_cast_hand_o {s1}_has_cast_hand_of_glory._Nearby_allied_troops_have_multiple_stats_augmented.
qstr_{s1}_has_cast_fiery_ {s1}_has_cast_fiery_convocation._Affected_enemy_troops_take_damage.
qstr_{s1}_has_cast_power_ {s1}_has_cast_power_of_darkness._Nearby_allied_troops_have_damage_augmented.
qstr_{s1}_has_cast_word_o {s1}_has_cast_word_of_pain._Affected_enemy_enemy_troops_have_decreased_melee_damage,_ranged_accuracy_and_weapon_speed.
qstr_{s1}_has_cast_bladew {s1}_has_cast_bladewind._Affected_enemy_troops_take_heavy_damage_if_agility_test_is_failed.
qstr_{s1}_has_cast_soulst {s1}_has_cast_soulstealer._Enemy_troops_in_radius_take_damage._Any_deaths_will_heal_the_caster.
qstr_{s1}_has_cast_Arnzip {s1}_has_cast_Arnzipals_Black_Horror_._Affected_Enemy_troops_die_if_athletics_test_is_failed.
qstr_{s1}_has_cast_Window {s1}_has_cast_Window_of_the_Void._Affected_Enemy_troops_die_if_athletics_test_is_failed.
qstr_{s1}_has_cast_Void_o {s1}_has_cast_Void_of_Death._Affected_enemy_troops_take_damage.
qstr_{s1}_has_cast_Curse_ {s1}_has_cast_Curse_of_Years._Affected_enemy_troops_start_to_age_and_take_damage_over_time.
qstr_{s1}_has_cast_pink_f {s1}_has_cast_pink_fire_of_tzeentch._Affected_enemy_troops_take_damage.
qstr_{s1}_has_cast_Tzeent {s1}_has_cast_Tzeentch_firestorm._Affected_enemy_troops_take_damage.
qstr_{s1}_has_cast_infern {s1}_has_cast_infernal_gateway._Affected_enemy_troops_take_overwhelming_damage.
qstr_{s1}_has_cast_hyster {s1}_has_cast_hysterical_frenzy._Affected_allied_troops_have_movement_and_combat_ability_increased_and_unbreakable.
qstr_{s1}_has_cast_bondag {s1}_has_cast_bondage_of_Slaanesh._Affected_enemy_troops_have_speed_and_melee_damage_output_halved.
qstr_{s1}_has_cast_acquie {s1}_has_cast_acquiescence._Affected_enemy_troops_have_movement_and_combat_ability_hexed.
qstr_{s1}_has_cast_slicin {s1}_has_cast_slicing_shards._Affected_enemy_troops_take_damage_and_face_another_hit_if_leadership_test_failed.
qstr_{s1}_has_cast_Cacoph {s1}_has_cast_Cacophonic_Choir._50%_chance_affected_enemy_troops_take_damage_heavy_damage.
qstr_You_have_gained_igno You_have_gained_ignore_pain.
qstr_You_gain_advanced_ig You_gain_advanced_ignore_pain.
qstr_{s1}_has_cast_miasma {s1}_has_cast_miasma_of_pestilence._Affected_enemy_troops_have_movement_and_combat_ability_hexed.
qstr_{s1}_has_cast_blades {s1}_has_cast_blades_of_putrefaction._Affected_allied_troops_gain_poisonous_attacks
qstr_{s1}_has_cast_curse_o {s1}_has_cast_curse_of_the_leper._Affected_allied_troops_gain_ignore_pain
qstr_{s1}_has_cast_rancid {s1}_has_cast_rancid_visitations._Affected_enemy_troops_take_damage_and_faces_an_additional_hit_if_ironflesh_test_failed.
qstr_{s1}_has_cast_plague {s1}_has_cast_plague_wind._Affected_enemy_troops_take_poisoned_damage_if_they_fail_a_constitution_test.
qstr_{s1}_has_cast_foot_o {s1}_has_cast_foot_of_Gork._Affected_{s2}_troops_take_heavy_damage.
qstr_{s1}_has_cast_ere_we {s1}_has_cast_ere_we_go._Affected_allied_troops_have_augmented_combat_abilities_and_gain_ignore_pain.
qstr_{s1}_has_cast_hand_of {s1}_has_cast_hand_of_Gork._Affected_allied_troops_have_augmented_speed.
qstr_{s1}_has_cast_curse_of {s1}_has_cast_curse_of_da_bad_moon._Affected_enemy_troops_take_damage.
qstr_{s1}_has_cast_itchy_ {s1}_has_cast_itchy_nuisance._Affected_enemy_troops_have_movement_speed_hexed.
qstr_{s1}_has_cast_gift_o {s1}_has_cast_gift_of_the_spider_God._Affected_allied_troops_gain_poisonous_attacks
qstr_{s1}_has_cast_sneaky {s1}_has_cast_sneaky_stabbin._Affected_allied_troops_have_augmented_piercing_damage_with_hand_to_hand_weapons.
qstr_{s1}_has_cast_skitte {s1}_has_cast_skitterleap._Affected_allied_troops_have_augmented_speed.
qstr_{s1}_has_cast_curse_of_ {s1}_has_cast_curse_of_the_horned_one._Affected_enemy_troops_will_turn_into_allied_skaven_if_they_fail_ironflesh_test.
qstr_{s1}_has_cast_death_ {s1}_has_cast_death_frenzy._Affected_allied_troops_have_movement_and_combat_ability_increased.
qstr_{s1}_has_cast_scorch {s1}_has_cast_scorch._Affected_enemies_troops_take_damage.
qstr_{s1}_has_cast_cracks {s1}_has_cast_cracks_call._Affected_{s2}_troops_who_fail_test_will_die.
qstr_{s1}_has_cast_blessi {s1}_has_cast_blessing_of_filth._Affected_allied_troops_gain_poisonous_attacks
qstr_{s1}_has_cast_corrup {s1}_has_cast_corruption._Affected_{s2}_troops_take_damage_if_test_failed.
qstr_{s1}_has_cast_plague. {s1}_has_cast_plague._Affected_enemy_troops_take_damage_if_they_fail_a_consititution_test_and_may_cause_plague_again_when_they_die.
qstr_{s1}_has_cast_Usiria {s1}_has_cast_Usirians_Incantation_of_Vengeance._Affected_enemy_troops_have_movement_hexed.
qstr_{s1}_has_cast_Sakhme {s1}_has_cast_Sakhmets_Incantation_of_the_Skullstorm_._Affected_enemy_troops_take_medium_to_heavy_damage.
qstr_{s1}_has_cast_Burnin {s1}_has_cast_Burning_Storm_._Affected_enemy_troops_take_medium_to_heavy_damage.
qstr_Your_attempt_to_cast Your_attempt_to_cast_Freezing_Blast_fails
qstr_{s1}s_attempt_to_cas {s1}s_attempt_to_cast_Freezing_Blast_fails
qstr_{s1}_has_cast_freezi {s1}_has_cast_freezing_blast._Affected_enemy_troops_have_movement_hexed_and_take_minor_damage.
qstr_Your_attempt_to_cast_ Your_attempt_to_cast_Freeze_fails
qstr_{s1}s_attempt_to_cast {s1}s_attempt_to_cast_Freeze_fails
qstr_{s1}_has_cast_curse_of_t {s1}_has_cast_curse_of_the_genie._Affected_enemy_troops_have_50%_chance_of_taking_extra_damage.
qstr_Your_attempt_to_cast_H Your_attempt_to_cast_Holy_Wrath_fails
qstr_{s1}s_attempt_to_cast_ {s1}s_attempt_to_cast_Holy_Wrath_fails
qstr_{s1}_has_cast_holy_w {s1}_has_cast_holy_wrath._Affected_allied_troops_have_augmented_damage.
qstr_Your_attempt_to_cast_S Your_attempt_to_cast_Shield_of_Faith_fails
qstr_{s1}s_attempt_to_cast_S {s1}s_attempt_to_cast_Shield_of_Faith_fails
qstr_{s1}_has_cast_shield {s1}_has_cast_shield_of_faith._Allies_gain_magical_protection.
qstr_Your_attempt_to_cast_D Your_attempt_to_cast_Divine_Healing_fails
qstr_{s1}s_attempt_to_cast_D {s1}s_attempt_to_cast_Divine_Healing_fails
qstr_{s1}_has_cast_divine {s1}_has_cast_divine_healing._Affected_Allied_troops_have_health_restored.
qstr_{s1}_has_cast_bestia {s1}_has_cast_bestial._Affected_allied_troops_have_augmented_speed.
