p_zendar|禅 达 
p_village_3|阿 兹 哥 德 
p_village_4|诺 玛 
p_village_5|库 鲁 姆 
p_village_6|爱 米 林 
p_village_7|阿 密 尔 
p_village_8|哈 茵 
p_village_9|巴 甫 伦 
p_village_10|麦 肯 
p_village_11|达 斯 图 欧 
p_village_12|伊 美 尔 
p_village_13|尼 美 加 
p_village_14|桑 布 加 
p_village_15|瑞 泊 莱 特 
p_village_16|夏 普 斯 特 
p_village_17|马 赞 
p_village_18|奥 穆 尔 
p_village_19|哈 嫩 
p_village_20|阿 斯 卢 姆 
p_village_21|巴 泽 克 
p_village_22|舒 乐 斯 
p_village_23|伊 欧 薇 雅 
p_village_24|鲁 迪 
p_village_25|达 斯 贝 法 
p_village_26|培 刚 德 
p_village_27|格 兰 梅 尔 
p_village_28|塔 斯 库 鲁 姆 
p_village_29|布 尤 恩 
p_village_30|卢 瓦 尔 
p_village_31|安 碧 恩 
p_village_32|托 斯 德 尔 
p_village_33|卢 伦 斯 
p_village_34|艾 勒 代 葛 
p_village_35|费 尔 辰 
p_village_36|杰 耶 克 
p_village_37|阿 达 库 鲁 姆 
p_village_38|艾 伯 伦 
p_village_39|莱 芜 伦 
p_village_40|塞 伦 
p_village_41|杜 根 
p_village_42|德 瑞 法 厄 班 
p_village_43|则 加 西 
p_village_44|帕 希 米 
p_village_45|巴 鲁 格 
p_village_46|菲 德 讷 
p_village_47|依 帕 希 
p_village_48|维 达 
p_village_49|提 斯 摩 
p_village_50|卡 伦 迪 
p_village_51|杰 尔 博 格 
p_village_52|阿 玛 希 科 
p_village_53|巴 兰 利 
p_village_54|柴 德 
p_village_55|泰 得 撒 马 希 
p_village_56|芬 拉 德 
p_village_57|尤 希 库 鲁 
p_village_58|维 赞 
p_village_59|杜 迈 
p_village_60|塔 尔 博 力 亚 
p_village_61|艾 德 伦 
p_village_62|瑞 巴 奇 
p_village_63|乌 鲁 达 那 
p_village_64|瑟 林 迪 尔 
p_village_65|依 林 达 哈 
p_village_66|费 斯 德 那 
p_village_67|特 班 达 
p_village_68|艾 泊 德 勒 斯 
p_village_69|克 温 
p_village_70|德 瑞 格 森 
p_village_71|提 斯 泊 丁 
p_village_72|艾 尔 贝 尔 
p_village_73|齐 扎 
p_village_74|艾 伊 科 
p_village_75|泊 胡 拉 班 
p_village_76|克 德 尔 克 
p_village_77|瑞 兹 
p_village_78|塞 伦 米 斯 
p_village_79|艾 斯 提 尼 那 
p_village_80|瓦 叶 则 吉 
p_village_81|欧 达 桑 
p_village_82|亚 力 卜 
p_village_83|哥 斯 莫 
p_village_84|车 勒 兹 
p_village_85|依 斯 摩 罗 拉 
p_village_86|色 雷 兹 克 
p_village_87|乌 迪 尼 拉 德 
p_village_88|图 尔 布 克 
p_village_89|阿 乎 恩 
p_village_90|加 米 奇 
p_village_91|阿 安． 阿 苏 迪 
p_village_92|黑 巴 伊 
p_village_93|括 乌 特 
p_village_94|马 兹 根 
p_village_95|塔 姆 努 
p_village_96|哈 巴 
p_village_97|色 库 腾 
p_village_98|马 维 提 
p_village_99|费 沙 拉 
p_village_100|奇 巴 伊 
p_village_101|乌 兹 汗 
p_village_102|什 巴． 祖 默 
p_village_103|米 加 耶 特 
p_village_104|塔 居 纳 特 
p_village_105|阿 波 
p_village_106|哈 瓦 哈 
p_village_107|乌 丽 亚 
p_village_108|米 特． 努 恩 
p_village_109|提 里 姆 萨 
p_village_110|鲁 什 迪 根 
p_salt_mine|盐 矿 
p_four_ways_inn|四 方 客 栈 
p_test_scene|测 试 场 景 
p_battlefields|战 场 
p_dhorak_keep|多 拉 克 要 塞 
p_training_ground|训 练 场 
p_training_ground_1|训 练 场 
p_training_ground_2|训 练 场 
p_training_ground_3|训 练 场 
p_training_ground_4|训 练 场 
p_training_ground_5|训 练 场 
p_steppe_bandit_spawn_point|草 原 
p_taiga_bandit_spawn_point|冰 原 
p_forest_bandit_spawn_point|绿 林 
p_mountain_bandit_spawn_point|高 地 
p_sea_raider_spawn_point_1|海 岸 
p_sea_raider_spawn_point_2|海 岸 
p_desert_bandit_spawn_point|沙 漠 
