str_no_string|,
str_oasis_village_alt_prosperity_20|Hurma koruluklarına bakan sadece birkaç köylü görünüyor. Çöl kumulları yer yer bahçelerde zarar vermişe benziyor. Sulama kanallarının çoğu alüvyonlar yüzünden tıkalı, kuyular ve sarnıçlar ise kumla dolmuş.
str_oasis_village_alt_prosperity_40|Erkekler ve kadınlar hurma koruluklarının bakımıyla uğraşıyor, ağaçların tepesine tırmanıp meyveleri tozlaştırıyorlar. Sağlıklı hayvanlar tarlalara su getiren tulumbaları ve tekerlekleri çekiyorlar. Yine de sulama kanallarıyla sarnıçların bazılarının bakıma ihtiyacı var.
str_oasis_village_alt_prosperity_60|İşçiler hurma koruluklarıyla bostanlarda arı gibi çalışıyor. Çiftçiler, hurma meyvelerini tozlaştırdıkları ağaçların tepesinden birbirlerine neşeyle sesleniyor. Tahta tulumbaların gıcırtısı, koşum hayvanlarının böğürtüsü ve akan suyun sesi, köylülerin ilgisiyle gelişen bir sulama sistemini haber veriyor.
str_oasis_village_alt_prosperity_80|İşçiler hurma koruluklarıyla bostanlarda arı gibi çalışıyor. İşçiler yığınla hurmayı pazarda satmak için arabalara yüklüyorlar. Erkekler ve kadınlar yeni kuyular ve sulama kanalları kazmakla meşgul, böylece daha büyük bir araziyi sulayabilecekler.
str_acres_grain|dönüm tahıl arazisi
str_acres_orchard|dönüm bağ ve bostan
str_acres_oasis|dönüm sulanan hurma arazisi
str_looms|dokuma tezgahı
str_boats|gemiler
str_head_cattle|baş sığır
str_head_sheep|baş koyun
str_mills|değirmen taşı
str_kilns|fırın
str_pans|çömlek
str_deposits|demir filizi
str_hives|kovan
str_breweries|birahane
str_presses|üzüm sıkacağı
str_smithies|demirci
str_caravans|kervan
str_traps|hayvan tuzağı
str_gardens|bahçe
str_tanneries|tabaklama kuyusu
str_master_miller|Değirmenci 
str_master_brewer|Bira imalatçısı
str_master_presser|Yağ ustası
str_master_smith|Demirci ustası
str_master_tanner|Tabakhane Başı
str_master_weaver|Dokumacı ustası
str_master_dyer|İpek ustası
str_war_report_minus_4|savaşı kaybetmek üzereyiz
str_war_report_minus_3|durum iç açıcı görünmüyor
str_war_report_minus_2|işler pek iyi gitmiyor
str_war_report_minus_1|birleşirsek savaşı hala kazanabiliriz
str_war_report_0|düşmanla başa baş durumdayız
str_war_report_plus_1|kazanma şansımız vasatın üstünde
str_war_report_plus_2|işler oldukça iyi gidiyor
str_war_report_plus_3|onları yenmek zor olmayacak
str_war_report_plus_4|savaşı kazanmak üzereyiz
str_persuasion_summary_very_bad|{s50} karşınıza geçiyor ve onu ikna etmek için elinizden geleni yapıyorsunuz, ama savlarınızın hiç biri doğru çıkmıyor. Ne zaman söyledikleriniz bir anlam kazanmaya başlasa, her şeyi yüzünüze gözünüze bulaştırıp tamamen yanlış bir şey söylüyorsunuz. Konuşmayı bitirdiğinizde, işinize yarayacak tutarlı hiç bir şey söylemediğiniz gibi, kendinizi daha da batırdığınızı fark ediyorsunuz. Beklendiği gibi, {s50} hiç de etkilenmiş görünmüyor.
str_persuasion_summary_bad|Savlarınızı sıralamaya yeni başlamış olmanıza rağmen {s50} sizi daha en başından alaşağı ediyor. En iyi savlarınız kendinize bile boş görünüyor. {s50} de sizin söyleyeceklerinize dair pek bir beklenti içerisinde değil.
str_persuasion_summary_average|{s50} keskin bir zekaya ve konuşma konusunda yeteneğe sahip biri olduğunu ortaya koyuyor ve mantığıyla savuşturamayacağı kadar katı bir fikir öne süremiyorsunuz. Nihayetinde, ne siz ne de o, tartışmada bir üstünlük sağlayamıyorsunuz.
str_persuasion_summary_good|Hızlı düşünüp akıcı konuşarak, iddianızı iyi bir şekilde belirtiyor ve {s50} daha karşılık bile veremeden onu çeşitli noktaları kabul etmeye zorluyorsunuz. Ne var ki, {s50} yine de isteğiniz hakkında çekincelere sahip olduğunu belirtiyor.
str_persuasion_summary_very_good|Dinleyen herkesin kulağında yankılanan, ateşli bir konuşma sergiliyorsun. Öyle ki, dünyanın kendisi seni daha iyi duymak için sesini kısmış gibi duruyor. {s50} ilham verici bu sözlerden  derinden etkiliyor ve sana yardım etmeye çok daha hazır ve istekli görünüyor.
str_secret_sign_1|Gardırop gece yarısında dans eder..
str_secret_sign_2|Bu güzel Kergit duvar halılarından satıyorum. Almak ister misiniz?
str_secret_sign_3|Beni bir dostumun dostu yolladı...
str_secret_sign_4|Rüzgar doğudan sert eser ve ırmak kızıla bulanır...
str_countersign_1|Ama şifoniyer için mi yoksa şamdan için mi dans eder?
str_countersign_2|Evet, elinizde mavi var mı?
str_countersign_3|Ama dostum, dostunun dostunun benim gibi bir dostu asla olmayacak.
str_countersign_4|Hasta mıydın?
str_name_1|Albard
str_name_2|Euscarl
str_name_3|Sigmar
str_name_4|Talesqe
str_name_5|Ritmand
str_name_6|Aels
str_name_7|Raurqe
str_name_8|Bragamus
str_name_9|Taarl
str_name_10|Ramin
str_name_11|Shulk
str_name_12|Putar
str_name_13|Tamus
str_name_14|Reichad
str_name_15|Walcheas
str_name_16|Rulkh
str_name_17|Marlund
str_name_18|Auguryn
str_name_19|Daynad
str_name_20|Joayah
str_name_21|Ramar
str_name_22|Caldaran
str_name_23|Brabas
str_name_24|Kundrin
str_name_25|Pechnak
str_surname_1|Uxkhallı {s50}
str_surname_2|Werchegli {s50}
str_surname_3|Reyvadinli {s50}
str_surname_4|Sunolu {s50}
str_surname_5|Jelkalalı {s50}
str_surname_6|Velucalı {s50}
str_surname_7|Halmarlı {s50}
str_surname_8|Curawlı {s50}
str_surname_9|Sargothlu {s50}
str_surname_10|Tihrli {s50}
str_surname_11|Zendarlı {s50}
str_surname_12|Rivachegli {s50}
str_surname_13|Werchegli {s50}
str_surname_14|Ehlerdaglı {s50}
str_surname_15|Yaragarlı {s50}
str_surname_16|Burglenli {s50}
str_surname_17|Shapeshteli {s50}
str_surname_18|Hanunlu {s50}
str_surname_19|Sarenli {s50}
str_surname_20|Toshdarlı {s50}
str_surname_21|Uzun {s50}
str_surname_22|Sıska {s50}
str_surname_23|İpeksakal {s50}
str_surname_24|Serçe {s50}
str_surname_25|Yoksul {s50}
str_surname_26|Çizik {s50}
str_surname_27|Adil {s50}
str_surname_28|Amansız {s50}
str_surname_29|Kızıl {s50}
str_surname_30|Kara {s50}
str_surname_31|Sırık {s50}
str_surname_32|Yıldızgöz {s50}
str_surname_33|Korkusuz {s50}
str_surname_34|Cesur {s50}
str_surname_35|Kurnaz {s50}
str_surname_36|Korkak {s50}
str_surname_37|Parlak {s50}
str_surname_38|Hızlı {s50}
str_surname_39|Âşık {s50}
str_surname_40|Gözüpek {s50}
str_surname_41|Asabi {s50}
str_surnames_end|surnames end
str_number_of_troops_killed_reg1|Öldürülen asker sayısı: {reg1}
str_number_of_troops_wounded_reg1|Yaralı asker sayısı: {reg1}
str_number_of_own_troops_killed_reg1|Öldürülen müttefik asker sayısı: {reg1}
str_number_of_own_troops_wounded_reg1|Yaralanan müttefik asker sayısı: {reg1}
str_retreat|Geri çekilme
str_siege_continues|Savaş devam ediyor...
str_casualty_display|Kayıp: {s10}. Düşmanın kaybı: {s11}. {s12}
str_casualty_display_hp|{reg1} puanlık yara aldınız.
str_quest_log_updated|Görev kayıtları güncellendi...
str_banner_selection_text|Artık sancak taşıma hakkına sahipsiniz. Sancağınız statünüzün göstergesi olacak ve size şeref verecek. Hangi sancağı seçmek istersiniz?
str_retirement_text_1|Çok geç olana kadar paranızın dayanmayacağını fark etmiyorsunuz. Biriktirmeye tenezzül ettiğiniz azıcık parayı çarçur etmeniz de uzun sürmüyor ve maceracılığa geri dönmek üzere yaptığınız bir kaç çaresiz denemede de başarılı olamıyorsunuz. {s9} kilisesinin yardımı ve sadakalarla yaşayan bir dilenci olup çıkıyorsunuz.
str_retirement_text_2|Çok geç olana kadar paranızın dayanmayacağını fark etmiyorsunuz. Biriktirmeye tenezzül ettiğiniz azıcık parayı çarçur etmeniz de uzun sürmüyor. Elinizde kalan son dinar da buhar olup uçtuktan sonra {s9} sokaklarında suç dolu bir hayata başlıyor, yeteneklerinizi kullanarak kadınlardan ve zavallı şehir sakinlerinden bakır çalarak hayatınızı sürdürmeye çalışıyorsunuz.
str_retirement_text_3|Çok geç olana kadar paranızın dayanmayacağını fark etmiyorsunuz. Biriktirmeye tenezzül ettiğiniz azıcık parayı çarçur etmeniz de uzun sürmüyor ve handan hana dolaşıp hoşgörülü müşterilere kimsenin inanmadığı savaş hikayeleri anlatarak içki çarpan parasız bir gezgine dönüyorsunuz.
str_retirement_text_4|Biriktirdiğiniz gümüş uzun süre dayanmıyor ama {s7} yakınlarında biraz toprak alacak kadarını bulmayı başarıyorsunuz. Orada özgür bir çiftçi oluyorsunuz ve potansiyel eş adaylarını çekmeye başlıyorsunuz. Kısa zamanda köylüler size yerel kahramanları gibi davranmaya başlıyorlar. Ziyafetlerde her zaman onursal bir yeriniz oluyor ve yaptıklarınıza dair hikayeler, çocuklar anılarınızı sonsuza dek yaşatsın diye hanlarda ve meyhanelerde defalarca anlatılıyor.
str_retirement_text_5|Biriktirdiğiniz gümüş uzun süre dayanmıyor, ama {s9} içinde küçük bir han almanıza yetiyor. Yerel halk başta uzak dursa da, kısa zamanda sizi aralarına kabul ediyorlar. Zamanla büyüyen hanınız bilinen bir ziyafet ve buluşma noktası haline geliyor. İnsanlar büyük ününüz ve maceracılık zamanlarına dair anlattığınız epik hikayelerinizi dinlemek için uzak mesafelerden yemeye ya da kalmaya geliyorlar.
str_retirement_text_6|Kariyeriniz boyunca akıllıca biriktirdiniz. Şimdi zekanız ve gümüşünüz, geleceğinizi sağlama almak için kusursuz yatırımlar yapmanıza olanak sağlıyor. {s9} içinde çeşitli dükkanlar ve depolar aldıktan sonra kurnazlığınız sizi şehrin önde gelen tüccarlarından biri haline getiriyor ve kısa zamanda savaştaki başarıları kadar ticaret imparatorluğuyla da bilinen biri haline geliyorsunuz.
str_retirement_text_7|Biriktirdiğiniz gümüş uzun süre dayanmıyor, ama {s9} içinde küçük bir han almanıza yetiyor. Yerel halk başta uzak dursa da, kısa zamanda sizi aralarına kabul ediyorlar. Zamanla büyüyen hanınız bilinen bir ziyafet ve buluşma noktası haline geliyor. İnsanlar büyük ününüz ve maceracılık zamanlarına dair anlattığınız epik hikayelerinizi dinlemek için uzak mesafelerden yemeye ya da kalmaya geliyorlar.
str_retirement_text_8|Kendinizi çok iyi idare ettiğiniz su götürmez bir gerçek. Geniş topraklarınız ve maceracılıktan gelen servetiniz, hayatınızın sonuna kadar zengin ve rahat bir yaşamı garantilemeniz için yeterli. {s8}ndaki soylu makamınızdan emekli olmanızla, macera yerine politika geçiyor ve kısa zamanda hükümdarınızın krallığında dikkate alınıyor ve  güce sahip oluyorsunuz. Kendinizi oyalayacak entrikalar, avlanacak ormanlarınız, ziyafet verecek salonlarınız ve anlatacak onlarca güzel savaş hikayenizle, sonraki yılların tadını çıkarmanız hiç de zor olmuyor.
str_retirement_text_9|Lordunuz, etkin ve sadık hizmetlerinizin karşılığı olarak size bir soyluluk unvanı verilmesine karar verdi. Bundan sonra eylemlerinize {s7} Baronu olarak devam edeceksiniz ve efendinizin en yakın danışmanlarından biri olacaksınız. Şimdi günlerinizi güç oyunlarıyla, mülklerinizi yöneterek ve eski günlerdeki ihtişamı yad ederek geçireceksiniz.
str_retirement_text_10|Mütevazi bir noktadan başlamış olsanız da, lordunuzun gözünde büyük itibara sahipsiniz ve size {s9} {kontu/kontesi} gibi soylu bir unvan verdiğinde bu, ülkede bir şok dalgası oluşturdu. Geniş topraklar ve servet artık sizin ellerinizde. Hızlıca lordunuzun en güvenilir müşaviri oluyorsunuz, neredeyse dengi ve toprak yönetimi adına çoğu işi yapıyorsunuz ve Kalradya'nın en güçlü figürlerinden birisi olarak ihtişamlı sarayınızdaki tahtınıza oturuyorsunuz.
str_loot_village|masum köylülere saldırmamız
str_steal_from_villagers|fakir köylülerden çalmamız
str_rob_caravan|bir tüccar kervanını soymamız
str_sell_slavery|insanları kölecilere satmamız
str_men_hungry|yiyeceksiz kalmamız
str_men_unpaid|adamlarınıza ücretlerini ödeyememen
str_excessive_casualties|her savaşı kendi tarafınızda bir kan banyosuna çevirmemiz
str_surrender|düşmana teslim olmamız
str_flee_battle|savaştan kaçmamız
str_pay_bandits|sıradan haydutlara para akıtmamız
str_fail_quest|Şeref sözüyle kabul ettiğimiz bir görevde başarısız olmamız
str_squander_money|Bize güvenilip verilen parayı saçıp savurmamız
str_murder_merchant|Soğukkanlı bir cinayet işlememiz
str_round_up_serfs|Bir soylu namına köle toplamamız
str_battle_fate_1|Savaş hengamesi içinde birbirimizi kaybetmemiz
str_battle_fate_2|Yaralandım ve ölüme terk edildim
str_battle_fate_3|Düşmanlar tarafından bayıltıldım
str_battle_fate_4|Yakalandım ve fidye için tutuldum.
str_battle_fate_5|Yakalandım, ama kaçmayı başardım
str_npc_morale_report|Yandaş seçiminiz konusunda {s6}, liderlik tarzınız konusunda {s7} ve genel olarak bakarsak {s8} haldeyim.
str_happy|mutlu
str_content|idare eder
str_concerned|kaygılı
