dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Bu bölgeye bir derebeyi atama işini, beylerimin fikrini alana kadar ertelemek istiyorum.
dlga_ramun_introduce_4:ramun_introduce_5|Eh, bir bakıma. Kendime bu okyanustaki her gemiyi hareket ettiren adam demeyi tercih ediyorum. Gemiler küreklerle hareket eder, kürekler de adamlar sayesinde hareket eder, yoksa oldukları yerde boş boş dururlar. İşte ben tam olarak burada devreye giriyorum.
dlga_ramun_introduce_5:ramun_introduce_6|Kürek mahkumları.
dlga_ramun_introduce_6:ramun_introduce_7|Şimdi çakmaya başladın! Böyle bir ticaret limanı onlarsız yaşayamaz. Gemiler her yolculukta bir avuç dolusunu kaybediyor, dolayısıyla her zaman yüksek talep var. Kaptanlar bana geliyorlar ve iyi ödüyorlar.
dlga_ramun_introduce_7:ramun_introduce_8|Köleler nereden toplanıyor?
dlga_ramun_introduce_8:ramun_introduce_9|Ben genelde yetkililerden sabıkalı suçluları alıyorum. Diğerleri de çeşitli ülkelerden getirilen savaş esirleri, ve en iyi ödemeyi ben yaptığım için de direk bana getirilirler. Ancak, tek tük korsanlardan ve diğer . . . 'şahıslardan' da aldığım oluyor. Bu tür bir işte insan tedarikçileri konusunda seçici olamıyor.  Böyle bir işte mal aldığın kişiler arasında çok da seçici olamıyorsun. Senin yanında hiç esir yoktur, değil mi?
dlga_ramun_introduce_9:ramun_introduce_10|Benim mi?
dlga_ramun_introduce_10:ramun_introduce_11|Neden olmasın? Eğer bu şehrin dışına yol almayı planlıyorsan, er ya da geç birileriyle kılıç kılıca gireceksindir. Sonra, Tanrı'nın izniyle, gelip geleceksindir. Neden tüm bu olaydan biraz para kazanmayasın ? Onları canlı ele geçir, sonra da bana getir, ben de sana adam başı elli dinar vereyim. Kim olduklarını veya nereden geldiklerini de pek umursamıyorum.
dlga_ramun_introduce_11:ramun_introduce_12|Hmm. Bunu düşüneceğim.
dlga_ramun_introduce_12:close_window|Düşün tabii ki! Bu işte kazanılacak çok para var, şüphesiz. İkimize yeteceğinden de fazlası hemde.
dlga_start:ramun_talk|Merhaba, {playername}.
dlga_ramun_pre_talk:ramun_talk|Diyeceğin başka bir şey mi vardı?
dlga_ramun_talk:ramun_sell_prisoners|Sana biraz esir getirdim Ramun. Göz atmak ister misin?
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Bakalım nelerin varmış...
dlga_ramun_sell_prisoners_2:close_window|Seninle çalışmak bir zevkti.
dlga_ramun_talk:ramun_ask_about_capturing|Birilerini nasıl esir olarak alabilirim?
dlga_ramun_talk:ramun_ask_about_capturing.1|Bana esir yakalama konusundan tekrar bahsedebilir misin?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|Bu işte yenisin, öyle değil mi? Şimdi sana basit bir şekilde anlatayım. Birini esir almanın temel kuralı, kılıçla adamın karnını kesip deşmek yerine, topuz ya da sopa gibi kör bir silahla bayıltmaktır. Bu şekilde ölümcül yaralar almak yerine bir süre baygın kalacaktır, anladın mı? Yanında kör bir silah olduğunu varsayıyorum...
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Tabii ki.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|Aslına bakarsan.. yok.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Güzel. O halde tek yapman gereken herifi silahınla dövmek ve savaş bittiğinde ise demir kelepçelere vurmak. Soylular ve benzerleri için iş biraz daha değişir. Çok iyi zırhlarla korundukları için ne silah tür kullanırsan kullan pek fayda etmez.. Fakat ortalama seviyedeki tiplere eğer keskin bir şeyle vurursan domuz gibi kanamaya başlarlar. Satın aldığım mallar konusunda pek bir beklentim yoktur, onları aldığımda nefer alabilir bir halde olsunlar yeter.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|Yok mu? Eh, şanslı gününde olmalısın. Atmayı düşündüğüm eski bir sopam vardı. Biraz hurda ama yine de adamı bayıltana kadar dövmeye yeter. Al bakalım.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Sağol Ramun. Belki bir ara denerim.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Tamam, yine basit bir şekilde açıklamaya çalışayım. Birini esir almanın temel kuralı, adamı bir kılıçla yarıp biçmek yerine, topuz ya da sopa gibi küt bir silahla bayıltmaktır. Bu şekilde ölümcül yaralar almak yerine bir süreliğine uykuya dalacaktır, anladın?oylular ve benzerleri için iş biraz daha değişir. Çok iyi zırhlarla korundukları için ne silah tür kullanırsan kullan pek fayda etmez. Fakat ortalama seviyedeki tiplere eğer keskin bir şeyle vurursan domuz gibi kanamaya başlarlar.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Tamamdır, sanırım anladım. Başka bir şey?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Pekala, hepsi bu kadar basit değil. Küt silahlar keskin olanlar kadar hasar vermezler, dolayısıyla düşmanlarını o kadar hızlı yere indiremezler. Ve inan bana, karşılaşacağın serserilerin çoğu, fırsat buldukları an seni gördükleri gibi öldürmeye çalışacaklardır, bu yüzden kılıç yerine sopa çekince karşı taraftan saygılı bir davranış bekleme. Ayrıca esirleri kendinle birlikte sağa sola taşımak grubunu yavaşlatacaktır. Zaten bu yüzden bazıları savaştan sonra esirleri serbest bırakır. Akıl kârı değil. İnsan o kadar gümüşü nasıl bir kenara koyabilir yahu?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Hepsi bu mu?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Son bir şey. Mahkumları yönetmek kolay bir iş değil, ayrı bir beceridir diyebilirsin. Eğer çok mahkum esir almak istiyorsan, bu numaraları deneyip görmen gerekli, yoksa yakaladığın hiç bir adamı tutman mümkün olmaz.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Sağol, aklımda tutacağım.
dlga_ramun_talk:ramun_leave|Gitsem iyi olur.
dlga_ramun_leave:close_window|Unutma, yakaladığın her esiri direk bana getiriyorsun. Her biri için sana iyi para öderim.
dlga_start:close_window.3|Haşmetmaaplarının ellerini görebileceğim bir yerde tutmasını rica ediyorum.
dlga_start:manhunter_talk_b|Sen, oradaki? Buralarda hiç kaçak gördün mü?
dlga_manhunter_talk_b:manhunter_talk_b1|Evet, bir saat önce şu tarafa gittiler.
dlga_manhunter_talk_b1:close_window|Biliyordum! Gelin çocuklar, gidip şu herifleri yakalayalım. Çok sağol, dostum.
dlga_manhunter_talk_b:manhunter_talk_b2|Hayır, yakınlarda hiç kaçak görmedim.
dlga_manhunter_talk_b2:close_window|Peh. Her yere fareler gibi saklanmışlar, ama biz onları deliklerinden çıkartmasını biliriz. Er ya da geç.
dlga_looters_1:looters_2|{s4}
dlga_looters_2:close_window|Sizden korkmuyorum. Cesaretiniz varsa gelin!
dlga_looters_2:close_window.1|Benden, kılıcımın tadından başka hiçbir şey alamazsın, serseri herif!
dlga_start:village_farmer_talk| {Lordum/Hanımım}, biz sadece {s11} köyünden gelen fakir çiftçileriz. {reg1?{s12} pazarına mallarımızı götürüyoruz.:{s12} pazarından köyümüze dönüyoruz.}
dlga_village_farmer_talk:farmer_bandit_information|Şu eşkâle sahip bir haydut grubunu arıyorum. Onları gördünüz mü?
dlga_farmer_bandit_information:village_farmer_talk|{s15}
dlga_village_farmer_talk:close_window|Elinizdekileri alınca ne kadar fakirmişsiniz anlarız!
dlga_village_farmer_talk:close_window.1|Devam edin o halde. Sağlıcakla.
dlga_start:minister_issues|Hizmetinizdeyim, {efendim/hanımım}
dlga_start:close_window.4|Size hizmet etmek benim için bir onurdur, {efendim/hanımım}.
dlga_start:member_castellan_talk|Evet, {playername}? Sizin için ne yapabilirim?
dlga_member_castellan_pretalk:member_castellan_talk|Başka bir şey?
dlga_member_castellan_talk:member_review_castle_garrison|Kale garnizonunu incelemek istiyorum.
dlga_member_review_castle_garrison:member_castellan_pretalk|Tabii ki. Listelerimiz burada, ihtiyaç duyduğunuz değişiklikleri bana bildirin yeter.
dlga_member_castellan_talk:member_review_castellan_equipment|Ekipmanını bir göreyim.
dlga_member_review_castellan_equipment:member_castellan_pretalk|Pekala, hepsi burada...
dlga_member_castellan_talk:member_castellan_join|Kaleden ayrılıp grubuma katılmanı istiyorum.
dlga_member_castellan_join:close_window|Burayı bayağı sevmeye başlamıştım... Fakat isteğiniz buysa, {playername}, sizinle geleceğim.
dlga_member_castellan_join:member_castellan_pretalk|Ve nerede uyuyacağız? Kendinizle bir ordu sürüklüyorsunuz, {playername}, hepimize yetecek kadar yer yok.
dlga_member_castellan_talk:close_window|[Ayrıl]
dlga_start:member_wilderness_talk|Size tekrar katılmamı istiyor musunuz?
dlga_start:member_inn_talk|Size tekrar katılmamı istiyor musunuz?
dlga_member_chat:kidnapped_girl_chat_1|Eve geldik mi?
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Daha değil.
dlga_kidnapped_girl_chat_2:close_window|Geri dönmek için sabırsızlanıyorum. Ailemi o kadar çok özledim ki, onları görmek için herşeyi verirdim.
dlga_member_chat:member_lady_1|{playername}, sence hedefimize ne zaman ulaşabiliriz?
dlga_member_lady_1:member_lady_2a|Daha önümüzde uzun bir yol var.
dlga_member_lady_1:member_lady_2b|Oldukça yakın, neredeyse vardık.
dlga_member_lady_2a:close_window|Ah, yolun tadını çıkarmaya devam edeceğim o zaman. Şikayetim yok. Dışarıda olmayı kalede oturmaktan çok daha keyifli buluyorum. Biliyorsunuz, size imrenmişimdir hep. Siz hep bu şekilde yaşayabiliyorsunuz.
dlga_member_lady_2b:close_window|Bunu duymak güzel. Refakatinizden hoşlanmadığımdan değil, ama rahat ve konforlu hayatımı özledim. Yine de bu kadar çabuk ayrılacağım için üzgünüm. Bana söz vermelisiniz, fırsat oldukça beni ziyaret edeceksiniz.
dlga_member_chat:supported_pretender_talk|Merhabalar, {playername}, ilk ve baş derebeyimsin. Tavsiyelerini bekliyorum.
dlga_supported_pretender_pretalk:supported_pretender_talk|Başka bir şey?
dlga_supported_pretender_talk:pretender_progress|Şu ana kadarki ilerleyişimiz hakkında ne düşünüyorsun?
dlga_pretender_progress:pretender_progress_2|{reg11?Şu an tarafımızda {reg11} lord var:Henüz yanımızda hiç lord yok}, oysa {reg21?{s9} hala {reg21} destekçi lorda sahip:{s9} tarafında lord kalmadı}. {reg19?Biz {reg13?{reg13} şehre:} {reg14?{reg14} kaleye:} {reg15?ve {reg15} köye:} sahipken:Kontrolümüzde yerleşim yokken},  {reg29?onlar {reg23?{reg23} şehir:} {reg24?{reg24} kale:} {reg25?ve {reg25} köyü:} kontrolleri altında tutuyorlar:onların kontrolünde herhangi bir yerleşim yeri yok}. Genel olarak, {s30}.
dlga_pretender_progress_2:supported_pretender_pretalk|O zaman savaşmaya devam edip müttefiklerimizi toplamalıyız!
dlga_pretender_progress_2:pretender_quit_rebel_confirm|Bu isyan bir yere varacağa benzemiyor. Vazgeçmeliyiz.
dlga_pretender_quit_rebel_confirm:pretender_quit_rebel_confirm_2|{playername}, beni şimdi böyle bırakamazsın. Ciddi misin?
dlga_pretender_quit_rebel_confirm_2:pretender_quit_rebel_confirm_3|Malesef ciddiyim. Sizi daha fazla destekleyemeyeceğim.
dlga_pretender_quit_rebel_confirm_2:supported_pretender_pretalk|Şaka yapıyordum. Muvaffak olana kadar sizin için savaşacağım.
dlga_pretender_quit_rebel_confirm_3:pretender_quit_rebel_confirm_4|Gerçekten emin misin? Eğer davamı terkedersen seni asla affetmem.
dlga_pretender_quit_rebel_confirm_4:pretender_quit_rebel|Eminim.
dlga_pretender_quit_rebel_confirm_4:supported_pretender_pretalk|Üstüne biraz düşünmem lazım.
dlga_pretender_quit_rebel:close_window|Peki, öyle olsun. Benim de artık bir amacım kalmadı. Artık yapılabilecek tek bir şeyim var. Kalradya'dan gidip bir daha geri gelmeyeceğim. Benim yokluğumla, {s4} ile rahat rahat dostluk kurmaya çalışabilirsin.
dlga_supported_pretender_talk:supported_pretender_equip|{reg65?Hanımım:Lordum}, ekipmanınıza bakmama izin verir misiniz?
dlga_supported_pretender_equip:supported_pretender_pretalk|Bak bakalım, hepsi burada.
dlga_supported_pretender_talk:pretneder_view_char_requested|Sizin içinde bir sorun yoksa, bana yeteneklerinizden bahsedebilir misiniz?
dlga_pretneder_view_char_requested:supported_pretender_pretalk|Tabii ki.
dlga_supported_pretender_talk:supported_pretender_grant_fief|Şu an sahibi olmayan bir bölgemiz var. Oraya bir efendi önerebilirim.
dlga_supported_pretender_grant_fief:supported_pretender_grant_fief_select|Elbette. Hangi bölgeden bahsediyorsun?
dlga_supported_pretender_grant_fief_select:supported_pretender_grant_fief_choose_recipient|{s4}
dlga_supported_pretender_grant_fief_choose_recipient:center_captured_rebellion|Hmm. Oranın efendisi kim olmalı?
dlga_supported_pretender_grant_fief_select:supported_pretender_pretalk|Önemli değil.
dlga_supported_pretender_talk:close_window|Yolumuza devam edelim {reg65?hanımım:efendim}.
dlga_do_member_trade:member_talk|Başka bir şey?
dlga_member_pretalk:member_talk|Başka bir şey?
dlga_member_chat:member_talk|Evet, {s5}?
dlga_member_talk:member_direct_campaign|Mareşal olarak, bu krallığın tüm derebeylerine bir mesaj iletmenizi istiyorum.
dlga_member_talk:member_trade|Ekipmanını bir göreyim.
dlga_member_trade:do_member_trade|Pekala, hepsi burada...
dlga_member_talk:view_member_char_requested|Yeteneklerin hakkında bana ne anlatabilirsin?
dlga_view_member_char_requested:do_member_view_char|Pekala, şöyle...
dlga_member_talk:member_separate|Bir süreliğine ayrılmamız gerekiyor.
dlga_member_separate:member_separate_confirm|Gerçekten mi? Eh, burada bekleyeceğim yok. Şehirleri dolaşıp iş arayacağım. İstediğin bu mu?
dlga_member_separate:companion_quitting|Aslına bakarsan, sana söylemem gereken birşey var.
dlga_member_separate_confirm:member_separate_yes|Evet öyle, yollarımızı ayırmamız lazım.
