skl_trade|Comerciar
skl_power_draw_desc|Permite a los personajes utilizar mejores arcos. Cada punto de esta habilidad (hasta cuatro puntos por encima de los requerimientos del arco) incrementa el daño hecho por los arcos en un 14%%. (Habilidad personal)
skl_power_throw|Potencia de lanzamiento
skl_power_throw_desc|Cada punto de esta habilidad incrementa el daño de lanzamiento en un 10%%. (Habilidad personal)
skl_power_strike|Potencia de golpe
skl_power_strike_desc|Cada punto de esta habilidad incrementa el daño cuerpo a cuerpo en un 8%%. (Habilidad personal)
skl_ironflesh|Piel de hierro
skl_ironflesh_desc|Cada punto de esta habilidad incrementa los puntos de daño en +2. (Habilidad personal)
skl_constitution|Constitution{***}
skl_constitution_desc|Increases recovery time from illness and infliction. Recover health on map faster. Potion effects last longer. Reduces negative effects of intoxication. Please note undead, vampires and lizardmen cannot get ill or intoxicated.(Personal skill).{***}
skl_reserved_15|Habilidad reservada 15
skl_reserved_15_desc|Ésta es una habilidad reservada.
skl_reserved_16|Habilidad reservada 16
skl_reserved_16_desc|Ésta es una habilidad reservada.
skl_reserved_17|Habilidad reservada 17
skl_reserved_17_desc|Ésta es una habilidad reservada.
skl_reserved_18|Habilidad reservada 18
skl_reserved_18_desc|Ésta es una habilidad reservada.
