ip_morale|Moral
ip_military_campaigns_text|Cuando los reinos de El Viejo Mundo van a la guerra, sus ejércitos tienen dos opciones ofensivas básicas. Pueden intentar atacar aldeas y arrasar los campos, dañando el prestigio y economía de sus enemigos. O pueden intentar tomar castillos y ciudades por la fuerza, ocupando nuevos territorios. Esta segunda opción requiere largos y sangrientos asedios, pero también se obtienen resultados más contundentes.^^Es importante tener en cuenta que los reinos de El Viejo Mundo no mantienen ejércitos estables que permanecen en el campo tanto como su señor lo requiera. En vez de eso, los reinos de El Viejo Mundo están protegidos por levas feudales compuestas por los principales nobles y sus séquitos individuales. A veces, estos nobles organizan por su cuenta campañas de guerra en tierras enemigas, pero los eventos más decisivos tendrán lugar cuando los grandes señores se unan para formar un gran ejército. El mariscal del reino, un noble designado por el rey, será quien convoque a este gran ejército y lo lidere hacia la batalla. Sin embargo, deberá tener cuidado de no mantenerlos en campaña durante demasiado tiempo; de lo contrario, el ejército podría comenzar a desintegrarse cuando los vasallos lo abandonen para ocuparse de sus problemas privados y esto lo haría vulnerable a contraataques.^^Por esta razón, el ritmo de las guerras en El Viejo Mundo es a menudo similar al ritmo de un duelo entre dos combatientes. Un bando tomará fuerzas e intentará golpear en territorio enemigo. Si el mariscal no se ha tomado el debido tiempo reuniendo a los vasallos, es muy probable que no haga mella en el enemigo. Si el mariscal pierde demasiado tiempo, en cambio, la campaña puede terminar antes de haber comenzado siquiera. Un reino grande tendrá ventaja sobre uno pequeño, pero la cohesión política también es un factor importante. A veces los ejércitos de dos reinos se encontrarán frente a frente en el campo, desembocando en una gran batalla en la cual tanto la moral como los números dictarán el resultado.^^Los reinos no tendrán suficiente información sobre sus enemigos. Antes de atacar, un señor deberá explorar con frecuencia el territorio enemigo para determinar qué fortalezas pueden ser vulnerables. Un ejército que defiende su territorio se beneficiará de las alarmas de los castillos y ciudades, que les proporcionarán información sobre los movimientos enemigos en el área. Dicha información, no obstante, será imprecisa, particularmente en lo que se refiere a números. Una fuerza defensiva que se disponga a levantar un sitio o a defender una aldea podrá derrotar a un atacante no preparado... o puede calcular mal y verse derrotada. A su vez, los atacantes deberán tener cuidado al avanzar sobre territorio enemigo, y esto dependerá en parte de la agresividad del mariscal.^^Los jugadores deberán unirse a las campañas militares de su facción, ya sea explorando o incorporándose a las tropas aliadas. Algunos jugadores pensarán que el mariscal de su reino es demasiado cauteloso, o demasiado agresivo para sus gustos. En esta situación, podrán confabular con otros señores para intentar reemplazar al mariscal, o ganar apoyos para convertirse en mariscal ellos mismos.^^La mayoría de las guerras tienen una duración limitada. Un rey que marche a la guerra se verá obligado por su honor a mantener el conflicto durante un mínimo tiempo. Sin embargo, a menos que esté aplastando completamente al enemigo, pronto comenzará a buscar la forma de poner fin al conflicto, ya que de continuarlo podría llegar a ser el objetivo de un tercero. Los gobernantes de El Viejo Mundo tienen muy presente que el aliado de hoy puede ser el enemigo de mañana, y viceversa.
ip_naval_warfare|Combate Naval
ip_naval_warfare_text|You lead your men to battle on longboats. You are the captain of the first ship. You must give commands. Your other ships will be commanded by one of your men. ^^With the 'up' and 'down' keys you give your crew commands to change the rowing speed. ^^With the 'right' and 'left' keys you give your  helmsman commands to change the rudder direction. ^^With the 'enter' key you give command to lower or set the sail. ^^With the 'right shift' key you ask your tax man for a situation report.^^With the 'K' key you decide which boats you would like to board.^^With the 'J' key you decide if you want to land.^^With the 'backspace' key you can change your point of view.^^You know where south is when you consider the position of the sun and the time of day.
ip_combat_skills|Habilidades de combate
ip_combat_skills_text|You can purchase combat skills at any arena master. The price you pay for the skill depends on your race. ^^Dodge: Dodge gives you a chance to dodge any incoming attack. The higher your athletics and strength and the lower your encumberance the better your chances of dodging. Your chances of dodging ranged weapons are reduced the faster the speed of the missile but high agility can negate some of this reduction. ^^Ignore Pain: Ignore pain is the ability to shrug off some of the damage which you take in combat. The higher your ironflesh, the more of the blow you can brush off. ^^Mighty blow: This skill gives you a chance to score extra damage with your hits. If your skill activates after you have hit an enemy then you will cause extra damage and the amount is based on your power strike level. ^^Regenerate: Regeneration can only be obtained for the player via a ring you can buy from Cyrus the Bright. The ring is race restricted but it still works in battle if it is in your inventory so anyone can use it. The ring gives you a chance to regenerate health in battle intermittently.^^Unbreakable: Unbreakable cannot be purchased. A troop with unbreakable will not flee in combat and will not desert their party due to morale factors.
ip_magic|Magia
ip_magic_text|In order to use magic in warsword you need to have at least 1 in your magic skill (or 500 renown for the runesmith) and you need to visit a faction which will teach the school you want to learn. Some factions/schools are race and gender restricted. ^^Empire: Light, Gold, Jade, Celestial, Grey, Amethyst, Bright, Amber (Human only) ^^Dwarf: No magic but they have the runesmith available for all dwarves (not chaos dwarves)^^High Elves: Qhaysh, Light, Gold, Jade, Celestial, Grey, Amethyst, Bright, Amber (High Elves only)^^Chaos Dwarves: Bright, Gold, Amethyst (Chaos Dwarves only)^^Chaos: Tzeentch, Slaanesh, Nurgle, Gold, Grey, Amethyst, Bright (Chaos only)^^Tomb Kings: Nehekhara, Light, Amethyst (Skeletons only)^^Lizardmen: Skinks are not currently available for the player^^Goblin: Little Waaaagh (Goblin only)^^Araby: Desert, light, gold, bright, celestial (Human only)^^Orc: Big Waaagh (Orc only)^^Bretonnia: Jade, Amber, Celestial (Female human only)^^Dark Elves: Dhar, Gold, Bright, Grey, Amethyst (Dark Elves only)^^Skaven: Ruin and Plague (Skaven only)^^Kislev: Ice (Female Human only) Beastmen: Wild, Amber, Grey, Tzeentch, Slaanesh, Nurgle, Amethyst (Beastmen only)^^Nippon: Celestial, Bright, Life, Grey (Female human only)^^Vampire Counts: Undeath and Dhar (Skeletons, humans and Vampires only. Only vampires can learn dhar)^^Wood Elves: Qhaysh, Light, Gold, Jade, Celestial, Grey, Amethyst, Bright, Amber (Wood Elves only)^^Once you have 1 in your magic skill and have visited a relevant town you will find the magic guild in the top menu of the town menu. There you can find the guild menu where you can learn about the schools you can learn, what kind of spells they have and what the lore attribute is. You will also be able to increase your magic resistance and purchase spells and items once you have chosen a school.
ip_hotkeys|Uso de teclas
ip_hotkeys_text|Important keys: ^B = Scroll up spell ^V = Scroll down spell ^N = Magic information key ^M = Focus willpower ^K = Scroll up potion ^J = Scroll down potion ^H = Drink potion^^ Leonion soldier management hotkeys: ^1) Taking all prisoners that your party can accommodate - select [top] prisoner stack, hold LEFT CTRL and A, click capture (CTRL+A is a common hotkey combination used to select all). ^2) Taking all members that your party can accommodate - select [top] soldier stack, hold LEFT CTRL and S, click hire (S is for save). ^3) Putting all prisoners into garrison - select [any] prisoner stack, hold LEFT CTRL and D, click give.^4) Taking all prisoners from garrison that your party can accommodate - select [any] prisoner stack, hold LEFT CTRL and A, click take.^5) Putting all soldiers into garrison - select [any] soldier stack, hold RIGHT CTRL and ARROW LEFT, click give (arrow left indicates direction - from the right part of the screen to the left).^6) Taking all soldiers from garrison that your party can accommodate - select [any] soldier stack, hold RIGHT CTRL and ARROW RIGHT, click take (arrow right indicates direction - from the left part of the screen to the right).^7) Moving a stack 1 position down inside garrison - select the particular soldier stack, hold ARROW DOWN, click take.^8) Moving a stack 1 position up inside garrison - select the particular soldier stack, hold ARROW UP, click take.^9) Moving a stack to the top of garrison - select the particular soldier stack, hold PAGE UP, click take.^10) Moving a stack to the bottom of garrison - select the particular soldier stack, hold PAGE DOWN, click take. ^Controls 7-10 do not work if there is only 1 soldier in the stack.
ip_prebattle|Planteamiento Pre-Batalla
ip_prebattle_text|Un Comandante conocedor de tácticas tiene más opciones abiertas cuando se dirige a la batalla. En lugar de cargar simplemente, {él/ella} puede optar por liderar a sus tropas en la batalla (todos comienzan siguiéndole) o simplemente para salir al campo (todos comienzan manteniéndose). ^^Las personas con una formación más táctica pueden crear avanzados planes pre-batalla, dando una serie de ordenes complejas a cada Capitán de división para ejecutarlas cuando comienza la batalla. Estos Comandantes entrenados también pueden decirle a sus Capitanes cuales son las tropas que deben atacar en la primera oleada y así elegir las tropas que se desplegaran al principio de la batalla y las tropas que deben servir como refuerzos. Estos planes serán recordados entre batallas, pero se necesitan las órdenes pertinentes para ser enviadas a los Capitanes de las divisiones antes de cada batalla. ^^Es muy útil dividir vuestro grupo en DIVISIONES más allá del estándar de tres de infantería, arqueros y caballería. Cuando se examina el grupo, diferentes tipos de soldados se pueden asignar a esos grupos adicionales y recibir nombres. Además, en consulta con los Capitanes en el campamento, las tropas del mismo tipo se pueden dividir en divisiones secundarias de modo que un buen Comandante podría tener dos divisiones de caballería pesada o la infantería para flanqueo de maniobras. Tales asignaciones estarán activas durante muchas batallas, hasta que a los Capitanes de tropas se les indique lo contrario.
ip_tactics|Tácticas
ip_tactics_text|En la batalla, un Comandante efectivo da a las tropas bajo su mando órdenes claras para liderarlas hacia la victoria. Como la guerra en El Viejo Mundo sigue, ordenes más avanzadas y tácticas se han desarrollado y están ahora más ampliamente utilizadas por los Comandantes de campo. Por ejemplo, un Comandante puede ordenar a sus divisiones de tropas utilizar tipos de armas específicas (con una sola mano, dos manos, armas enastadas, o a distancia), así como si desea usar sus escudos, en lugar de dejar estas decisiones a la tropa individualmente. (También, a menos que se indique lo contrario --en 'Opciones del Mod--tropas' la decisión sobre el uso de armas ha mejorado para toda infantería de arma enastada, caballería con lanza, y arqueros montados. Estas tropas han recibido instrucciones de utilizar sus armas enastadas, lanzas y arcos, a menos que sean separados y rodeados por enemigos.) ^^Las divisiones de tropas también pueden crear formaciones cohesivas, mejorando su fuerza de combate como una unidad y permaneciendo más organizados en el fragor de la batalla. Infantería permite la más amplia variedad de divisiones, formando un cuadrado batalla, una formación de tres con las unidades más fuertes en las primeras filas, un muro de escudos de tres clasificados, con los más firmes en la parte delantera, y una cuna para romper formaciones enemigas y llevado por las tropas más fuertes. Divisiones de caballería solo pueden formar esta cuna, mientras arqueros de a pie solo se pueden formar en filas. (Si el jugador lo permite --en opciones del Mod--las fuerzas enemigas pueden utilizar estas formaciones, ya sea con la IA Native o con formaciones totalmente modificadas IA) ^^Los Comandantes en El Viejo Mundo también han desarrollado respuestas tácticas más avanzadas para sus enemigos. Estas órdenes de ataque especiales son útiles para un Comandante fuerte en la lucha contra las amenazas específicas o aprovechando su propia ventaja táctica. Por ejemplo, las tropas a distancia pueden ser instruidas para escaramuzas y evitar el contacto directo con el cuerpo a cuerpo enemigo huyendo hasta que se re-establezca la distancia adecuada. Los arqueros y ballesteros pueden disparar en salvas, en lugar de a propia voluntad, sincronizando sus proyectiles y frenando con efectividad un avance enemigo. Una táctica útil para la infantería de arma enastada es que dispongan las culatas de sus lanzas y picas en la tierra y contra el interior de sus pies en preparación para recibir una carga de caballería. Un Comandante de caballería inteligente evitara filas de picas preparadas para eliminar a sus caballos. (Si el jugador lo permite --en opciones del Mod-- las fuerzas enemigas pueden utilizar estas órdenes avanzadas 'especiales' también.) ^^Mas allá del control agregado de contar a las divisiones como actuar de la mejor manera, los Comandantes también tienen la capacidad para dirigir sus divisiones y que apunten a las divisiones enemigas especificadas, por lo que la caballería puede contrarrestar una carga de caballería o los arqueros e infantería pesada puede contrarrestar armas enastadas enemigas antes de una carga de caballería. Para ello, un Comandante debe hacer uso de sus banderas de campo (--F1--) y colocarlos sobre la división enemiga; sus divisiones se moverán para atacar al enemigo especificado. ^^Si un Comandante cae en batalla, sus tropas puedan continuar luchando una vez su personaje este seguro para recuperarse después de la batalla. Un Comandante debe especificar (en Opciones del Mod) si sus tropas deben seguir luchando bajo sus órdenes anteriores, cargar en un intento de evitar que la marea de la batalla se balancee en contra de ellos, o permitir a los Capitanes de división tomar el mando y llevar a cabo la batalla como mejor les parezca (continuación de batalla en formaciones IA solo está disponible si se activa también para el equipo IA enemigo). ^^Las órdenes de tipo de arma y formaciones anteriores, así como algunas de las más avanzadas maniobras tácticas/órdenes de ataque, puede ser descrito como parte de los planes de pre-batalla de un Comandante. ^^Para un Comandante inteligente, el pensamiento táctico no termina en el campo de batalla. No solo {él/ella} ha de hacer planes antes de la batalla, sino que debe cuidarse al viajar a las ciudades y pueblos para recoger suministros, con lo compañeros cercanos como escolta. Con el fin de convencer a los compañeros para servir en esta capacidad y que no parezca una tontería, el número de guardaespaldas utilizados por un Comandante se basa en su liderazgo y renombre.
